ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y,geometry
1170803,Veirs Mill,SILV,20906,RLU,AP,1289167.0,505648.0,POINT (1289167 505648)
1170186,Clearfield,SILV,20906,RLU,AP,1287351.0,506599.0,POINT (1287351 506599)
1305901,Eastland,ROCK,20853,ACC3,PE,1286867.0,515939.0,POINT (1286867 515939)
1345930,Culver,KENS,20895,ACC,LI,1289208.0,489092.0,POINT (1289208 489092)
1809281,Damascus,GAIT,20882,RLU,AP,1286862.0,568301.0,POINT (1286862 568301)
498622,Chelsea,BETH,20814,ACC3,LI,1285765.0,483751.0,POINT (1285765 483751)
1139818,Saul,KENS,20895,ACC3,LI,1285928.0,492712.0,POINT (1285928 492712)
589933,Sleaford,BETH,20814,RLU,AP,1287542.0,481910.0,POINT (1287542 481910)
639377,Kerry,CHEV,20815,RLU,PE,1291911.0,482917.0,POINT (1291911 482917)
1286910,Jeffry,SILV,20906,RLU,AP,1289984.0,509867.0,POINT (1289984 509867)
1372033,London,ROCK,20853,RLU,AP,1289553.0,517711.0,POINT (1289553 517711)
1274832,Parkland,ROCK,20853,RLU,PE,1287358.0,510729.0,POINT (1287358 510729)
3101098,Tackbrooke,OLNE,20832,RLU,AP,1283361.0,544142.0,POINT (1283361 544142)
585183,Rayburn,BETH,20817,RLU,AP,1278278.0,484442.0,POINT (1278278 484442)
516551,Kenwood,CHEV,20815,RLU,AP,1281829.0,475162.0,POINT (1281829 475162)
589000,Hempstead,BETH,20817,RLU,AP,1279190.0,484183.0,POINT (1279190 484183)
663388,Redwing,BETH,20817,ACC,LI,1276325.0,475746.0,POINT (1276325 475746)
580330,Hempstead,BETH,20817,ACC,LI,1279302.0,487363.0,POINT (1279302 487363)
2706525,Fraley Farm,DERW,20855,RLU,AP,1279948.0,541845.0,POINT (1279948 541845)
649822,Oldchester,BETH,20814,ACC3,LI,1280486.0,480016.0,POINT (1280486 480016)
679340,Ipswich,BETH,20814,RLU,AP,1279824.0,492027.0,POINT (1279824 492027)
634876,Belhaven,BETH,20817,ACC,EX,1278087.0,491751.0,POINT (1278087 491751)
515317,Jefferson,BETH,20817,RLU,AP,1279805.0,484226.0,POINT (1279805 484226)
735116,Woodway,DERW,20855,RLU,PE,1279001.0,545554.0,POINT (1279001 545554)
2616878,Azalea,DERW,20855,RLU,PE,1279602.0,541901.0,POINT (1279602 541901)
580727,Sonoma,BETH,20817,RLU,AP,1277614.0,486767.0,POINT (1277614 486767)
690484,Alta Vista,BETH,20817,ACC,LI,1281917.0,489445.0,POINT (1281917 489445)
543840,West Virginia,BETH,20814,ACC3,LI,1286217.0,482272.0,POINT (1286217 482272)
734987,Shremor,ROCK,20855,ACC,LI,1279776.0,546181.0,POINT (1279776 546181)
65142,Aurora,KENS,20895,ACC,LI,1284465.0,498630.0,POINT (1284465 498630)
661117,Westridge,BETH,20816,ACC,LI,1282808.0,470376.0,POINT (1282808 470376)
1304768,Mercury,ROCK,20853,RLU,AP,1284564.0,509736.0,POINT (1284564 509736)
68156,Ashley,ROCK,20852,RLU,AP,1286140.0,504773.0,POINT (1286140 504773)
1384667,Arctic,ROCK,20853,ACC,LI,1284778.0,514681.0,POINT (1284778 514681)
441158,Glenbrook,BETH,20814,ACC,LI,1283131.0,481650.0,POINT (1283131 481650)
1303172,Iris,ROCK,20853,ACC3,PE,1285026.0,514024.0,POINT (1285026 514024)
2859133,Exeter,BETH,20814,RLU,AP,1282890.0,479746.0,POINT (1282890 479746)
500384,Windsor,BETH,20814,ACC3,LI,1285679.0,483832.0,POINT (1285679 483832)
1389248,Arctic,ROCK,20853,ACC,LI,1285325.0,516949.0,POINT (1285325 516949)
515033,Garfield,BETH,20817,RLU,AP,1279447.0,484884.0,POINT (1279447 484884)
536241,Essex,CHEV,20815,RLU,AP,1284207.0,473797.0,POINT (1284207 473797)
1280002,Independence,ROCK,20853,RLU,AP,1286734.0,512629.0,POINT (1286734 512629)
543656,Highland,BETH,20814,ACC,LI,1285677.0,482357.0,POINT (1285677 482357)
471394,Elm,CHEV,20815,RLU,AP,1286695.0,479401.0,POINT (1286695 479401)
707448,Zion,GAIT,20879,RLU,AP,1284651.0,557712.0,POINT (1284651 557712)
441717,Battery,BETH,20814,ACC,EX,1282843.0,481694.0,POINT (1282843 481694)
1445482,Norbeck,ROCK,20853,RLU,AP,1283889.0,521620.0,POINT (1283889 521620)
598185,Rockville,BETH,20814,ACC,LI,1284321.0,490661.0,POINT (1284321 490661)
702696,Emory,ROCK,20853,RLU,AP,1288497.0,532001.0,POINT (1288497 532001)
1370331,Dunnel,KENS,20895,RLU,AP,1288650.0,490196.0,POINT (1288650 490196)
2926222,Brookeville,BRKV,20833,RLU,AP,1287938.0,552238.0,POINT (1287938 552238)
90410,Waycross,KENS,20895,RLU,AP,1283647.0,500758.0,POINT (1283647 500758)
443567,Burling,BETH,20814,RLU,AP,1281373.0,478532.0,POINT (1281373 478532)
546717,Duvall,BETH,20816,ACC,LI,1282727.0,467319.0,POINT (1282727 467319)
1411192,Walbridge,ROCK,20853,RLU,AP,1285111.0,509340.0,POINT (1285111 509340)
63143,Aurora,KENS,20895,RLU,AP,1283926.0,498433.0,POINT (1283926 498433)
1142942,Amherst,BETH,20814,ACC,EX,1286406.0,491724.0,POINT (1286406 491724)
596803,Asbury,BETH,20814,ACC,LI,1284194.0,490900.0,POINT (1284194 490900)
3163752,Poplar,TAKO,20912,ACC3,PE,1311963.0,474939.0,POINT (1311963 474939)
284232,Burnt Mills,SILV,20901,ACC,LI,1313388.0,498475.0,POINT (1313388 498475)
1076983,Sycamore,TAKO,20912,ACC,EX,1311282.0,476887.0,POINT (1311282 476887)
2100817,Carona,SILV,20905,RLU,AP,1305033.0,521473.0,POINT (1305033 521473)
1324675,LeBaron,SILV,20902,ACC,LI,1308250.0,502753.0,POINT (1308250 502753)
1351656,Lawnsberry,SILV,20901,ACC,LI,1312905.0,490894.0,POINT (1312905 490894)
344644,Falmouth,SILV,20904,ACC3,LI,1309933.0,510374.0,POINT (1309933 510374)
1007438,Wayne,SILV,20901,RLU,AP,1310324.0,486521.0,POINT (1310324 486521)
310775,Orchard,SILV,20904,RLU,AP,1313239.0,515976.0,POINT (1313239 515976)
1066415,Carroll,TAKO,20912,ACC,EX,1311439.0,478653.0,POINT (1311439 478653)
1066073,Maple,TAKO,20912,RLU,PE,1308792.0,477904.0,POINT (1308792 477904)
3161376,Sycamore,TAKO,20912,ACC,EX,1311388.0,476745.0,POINT (1311388 476745)
335786,Brantford,SILV,20904,ACC,PE,1314205.0,507147.0,POINT (1314205 507147)
1210897,Kerwin,SILV,20901,RLU,AP,1307540.0,496292.0,POINT (1307540 496292)
1009461,Bradford,SILV,20901,RLU,AP,1310173.0,487535.0,POINT (1310173 487535)
1066927,Maple,TAKO,20912,ACC,EX,1311243.0,481026.0,POINT (1311243 481026)
2013903,Pleasant Grove,SILV,20904,RLU,AP,1311087.0,516324.0,POINT (1311087 516324)
3069897,Cricket Hil,GERM,20874,RLU,AP,1232394.0,539844.0,POINT (1232394 539844)
3145558,Sligo Creek,TAKO,20912,ACC,EX,1311063.0,480978.0,POINT (1311063 480978)
3328093,Heartfields,SILV,20904,ACC,EX,1314949.0,503063.0,POINT (1314949 503063)
1056028,Colesville,SILV,20910,ACC3,LI,1305635.0,486902.0,POINT (1305635 486902)
3163433,Garland,TAKO,20912,RLU,AP,1313959.0,480261.0,POINT (1313959 480261)
3168641,Cole,TAKO,20912,ACC,EX,1314605.0,480857.0,POINT (1314605 480857)
3175305,Glenside,TAKO,20912,ACC,EX,1314588.0,479774.0,POINT (1314588 479774)
1398152,University,SILV,20901,ACC,PE,1313691.0,486070.0,POINT (1313691 486070)
335046,Montclair,SILV,20904,RLU,AP,1315741.0,508471.0,POINT (1315741 508471)
280245,Nolcrest,SILV,20903,ACC,LI,1314482.0,496436.0,POINT (1314482 496436)
1359663,Chester,TAKO,20912,ACC,PE,1313782.0,482105.0,POINT (1313782 482105)
333583,Downs,SILV,20904,ACC,LI,1317069.0,507160.0,POINT (1317069 507160)
1237247,Dalewood,SILV,20906,RLU,AP,1293533.0,508390.0,POINT (1293533 508390)
1179051,Monterrey,WHEA,20902,RLU,AP,1294464.0,501874.0,POINT (1294464 501874)
1026591,Upton,KENS,20895,RLU,AP,1295542.0,500162.0,POINT (1295542 500162)
1193440,Epping,SILV,20906,RLU,AP,1295101.0,508168.0,POINT (1295101 508168)
1027802,West,KENS,20895,ACC,LI,1294182.0,499726.0,POINT (1294182 499726)
3144873,Kenton,SILV,20902,RLU,AP,1293668.0,500691.0,POINT (1293668 500691)
1180538,Kingtree,SILV,20902,ACC,LI,1295020.0,503123.0,POINT (1295020 503123)
1185427,Veirs Mill,SILV,20902,ACC,LI,1295641.0,500964.0,POINT (1295641 500964)
1099756,Eccleston,SILV,20902,ACC,PE,1298014.0,493833.0,POINT (1298014 493833)
1181486,Arcola,SILV,20910,RLU,AP,1297403.0,502668.0,POINT (1297403 502668)
1418730,Louis,SILV,20910,ACC3,LI,1299093.0,487410.0,POINT (1299093 487410)
1089336,16TH,SILV,20910,RLU,AP,1300830.0,486970.0,POINT (1300830 486970)
1331842,Monticello,SILV,20902,RLU,AP,1304031.0,501542.0,POINT (1304031 501542)
1104490,Homestead,SILV,20902,ACC,EX,1297655.0,494837.0,POINT (1297655 494837)
1393651,Channing,SILV,20902,ACC,LI,1300731.0,501453.0,POINT (1300731 501453)
1177096,Henderson,SILV,20902,RLU,AP,1297509.0,504195.0,POINT (1297509 504195)
2412831,Monroe,SILV,20910,ACC,LI,1298970.0,489197.0,POINT (1298970 489197)
2650616,Morningmist,SILV,20906,RLU,PE,1300527.0,524103.0,POINT (1300527 524103)
1461937,Turnmore,SILV,20906,RLU,AP,1299726.0,515577.0,POINT (1299726 515577)
2258768,Ewood,SILV,20906,ACC3,LI,1298349.0,511712.0,POINT (1298349 511712)
1003180,Stanton,SILV,20910,ACC,LI,1295385.0,490287.0,POINT (1295385 490287)
1394963,Marymont,SILV,20906,ACC,EX,1298946.0,526213.0,POINT (1298946 526213)
1431246,Woodland,SILV,20910,ACC,LI,1301756.0,488284.0,POINT (1301756 488284)
1955888,Ridgecroft,BRKV,20833,RLU,AP,1298072.0,562907.0,POINT (1298072 562907)
1089941,Grace Church,SILV,20910,ACC3,LI,1299775.0,486434.0,POINT (1299775 486434)
1396528,Bucknell,SILV,20902,ACC,EX,1299258.0,502263.0,POINT (1299258 502263)
2743937,Cutstone,SILV,20905,RLU,AP,1304512.0,522739.0,POINT (1304512 522739)
959961,Orebaugh,SILV,20902,RLU,AP,1301929.0,502989.0,POINT (1301929 502989)
1417963,Luzerne,SILV,20910,ACC,LI,1299704.0,487837.0,POINT (1299704 487837)
1868382,Town Line,SILV,20906,ACC,EX,1301267.0,514545.0,POINT (1301267 514545)
1431086,Noyes,SILV,20910,ACC3,LI,1304558.0,485903.0,POINT (1304558 485903)
1057991,Tulip,TAKO,20912,ACC3,PE,1309080.0,476951.0,POINT (1309080 476951)
1076403,Cedar,TAKO,20912,ACC,EX,1308663.0,478024.0,POINT (1308663 478024)
1081160,Ritchie,SILV,20910,RLU,AP,1309613.0,480627.0,POINT (1309613 480627)
1367960,Nicholas,SILV,20902,ACC,LI,1302336.0,499951.0,POINT (1302336 499951)
1081455,Spruce,TAKO,20912,ACC,EX,1309459.0,476976.0,POINT (1309459 476976)
987456,Richmond,SILV,20910,ACC,PE,1306041.0,481571.0,POINT (1306041 481571)
2829182,Briggs,SILV,20906,ACC,EX,1299043.0,510940.0,POINT (1299043 510940)
990625,Ritchie,SILV,20910,ACC,EX,1308511.0,481514.0,POINT (1308511 481514)
1079337,Holly,TAKO,20912,ACC,EX,1307846.0,477829.0,POINT (1307846 477829)
1337280,Admiralty,SILV,20910,RLU,AP,1301418.0,490713.0,POINT (1301418 490713)
1063968,Park,TAKO,20912,RLU,AP,1309617.0,477573.0,POINT (1309617 477573)
1073956,Holly,TAKO,20912,ACC,EX,1307872.0,478364.0,POINT (1307872 478364)
1418012,16th,SILV,20910,ACC,EX,1300700.0,487791.0,POINT (1300700 487791)
2395597,Silverstone,SILV,20904,RLU,AP,1306208.0,524233.0,POINT (1306208 524233)
1065067,Holly,TAKO,20912,RLU,AP,1307992.0,478589.0,POINT (1307992 478589)
2540814,Yeatman,SILV,20902,RLU,AP,1305367.0,502664.0,POINT (1305367 502664)
1059567,Holly,TAKO,20912,ACC,EX,1307746.0,477652.0,POINT (1307746 477652)
2856744,Riviera,SILV,20904,RLU,AP,1306124.0,511255.0,POINT (1306124 511255)
1459752,Arbor View,SILV,20902,ACC3,PE,1302933.0,508400.0,POINT (1302933 508400)
2813302,Alderton,SILV,20906,RLU,AP,1302634.0,516179.0,POINT (1302634 516179)
2676518,Bromley,SILV,20902,RLU,PE,1305271.0,502567.0,POINT (1305271 502567)
1048110,Silver Spring,SILV,20910,RLU,AP,1307378.0,482771.0,POINT (1307378 482771)
1028555,Deerfield,SILV,20910,RLU,AP,1307548.0,484243.0,POINT (1307548 484243)
1077247,Cedar,TAKO,20912,ACC,EX,1308453.0,477954.0,POINT (1308453 477954)
1063092,Cedar,TAKO,20912,ACC,EX,1308548.0,477846.0,POINT (1308548 477846)
1629330,Brighton Knolls,BRIN,20862,RLU,AP,1305434.0,552446.0,POINT (1305434 552446)
2171643,Heather Crest,SILV,20902,ACC,LI,1303157.0,501746.0,POINT (1303157 501746)
1351350,Loxford,SILV,20901,ACC,LI,1306748.0,499382.0,POINT (1306748 499382)
1075498,Birch,TAKO,20912,ACC,EX,1308418.0,478036.0,POINT (1308418 478036)
1030981,St Andrews,SILV,20901,ACC,PE,1306414.0,489049.0,POINT (1306414 489049)
951511,Gabel,SILV,20901,ACC,PE,1305005.0,497706.0,POINT (1305005 497706)
1107505,Grayson,SILV,20901,RLU,AP,1307146.0,493241.0,POINT (1307146 493241)
1059556,Park,TAKO,20912,ACC,EX,1309609.0,477969.0,POINT (1309609 477969)
1058927,Hancock,TAKO,20912,RLU,AP,1310037.0,478030.0,POINT (1310037 478030)
1011167,Flower,SILV,20901,RLU,AP,1310206.0,487734.0,POINT (1310206 487734)
1367470,Hannes,SILV,20901,ACC,LI,1308846.0,498552.0,POINT (1308846 498552)
1063833,Grant,TAKO,20912,ACC,EX,1310026.0,478141.0,POINT (1310026 478141)
956650,Kemp Mill,SILV,20902,RLU,AP,1305144.0,507775.0,POINT (1305144 507775)
3175500,Westmoreland,TAKO,20912,ACC3,LI,1310862.0,474281.0,POINT (1310862 474281)
1032466,Cavalier,SILV,20901,ACC3,LI,1308041.0,497454.0,POINT (1308041 497454)
1077316,Grant,TAKO,20912,ACC,EX,1310077.0,478418.0,POINT (1310077 478418)
1062543,Sherman,TAKO,20912,ACC,EX,1310536.0,479046.0,POINT (1310536 479046)
1041302,Silver Spring,SILV,20910,ACC,EX,1306182.0,482700.0,POINT (1306182 482700)
2924110,Overton,SILV,20904,RLU,AP,1310126.0,516417.0,POINT (1310126 516417)
990658,Chesapeake,SILV,20910,ACC,EX,1307654.0,481458.0,POINT (1307654 481458)
1322791,Belgrade,SILV,20902,RLU,PE,1305513.0,500802.0,POINT (1305513 500802)
1377104,Reading,SILV,20901,ACC,LI,1310508.0,485004.0,POINT (1310508 485004)
313778,Overton,SILV,20904,RLU,AP,1308494.0,515502.0,POINT (1308494 515502)
1042853,Pershing,SILV,20910,ACC,EX,1306014.0,485019.0,POINT (1306014 485019)
984258,Kemp Mill,SILV,20902,RLU,AP,1305235.0,507594.0,POINT (1305235 507594)
1047228,Cedar,SILV,20910,ACC,LI,1305898.0,484880.0,POINT (1305898 484880)
2171563,Tucker,ASHT,20861,RLU,AP,1312835.0,537621.0,POINT (1312835 537621)
1221845,Gleason,WHEA,20902,RLU,AP,1302699.0,496631.0,POINT (1302699 496631)
1048052,Silver Spring,SILV,20910,ACC,PE,1306479.0,482736.0,POINT (1306479 482736)
1064006,Sligo Creek,TAKO,20912,ACC,EX,1310685.0,481961.0,POINT (1310685 481961)
1379615,University,SILV,20901,RLU,AP,1306864.0,494866.0,POINT (1306864 494866)
3219912,Ashton,ASHT,20861,RLU,PE,1313261.0,542066.0,POINT (1313261 542066)
1047183,Easley,SILV,20910,RLU,AP,1307082.0,483368.0,POINT (1307082 483368)
1163807,Remington,SILV,20902,RLU,AP,1308735.0,505122.0,POINT (1308735 505122)
1408172,Browning,TAKO,20912,RLU,AP,1312264.0,483856.0,POINT (1312264 483856)
345808,Piping Rock,SILV,20905,RLU,PE,1310393.0,520620.0,POINT (1310393 520620)
1685506,Dustin,BURT,20866,RLU,AP,1333009.0,531328.0,POINT (1333009 531328)
913913,Comus,CLAR,20871,ACC,LI,1217166.0,575667.0,POINT (1217166 575667)
595411,Ridge,BETH,20817,ACC,LI,1277010.0,485843.0,POINT (1277010 485843)
1234335,Feldon,SILV,20906,RLU,PE,1290805.0,509299.0,POINT (1290805 509299)
1068686,Maple,TAKO,20912,ACC,EX,1311142.0,481556.0,POINT (1311142 481556)
3501740,Fairland,SILV,20910,RLU,PE,1314363.0,512951.0,POINT (1314363 512951)
2870940,Greenbriar,POTO,20854,RLU,AP,1243860.0,508698.0,POINT (1243860 508698)
3253556,Falconcrest,GERM,20874,RLU,AP,1229811.0,540778.0,POINT (1229811 540778)
544046,West Virginia,BETH,20814,RLU,AP,1285797.0,482254.0,POINT (1285797 482254)
1185770,Veirs Mill,SILV,20902,RLU,AP,1294147.0,501954.0,POINT (1294147 501954)
3207058,Springer,BETH,20817,RLU,AP,1274294.0,481491.0,POINT (1274294 481491)
586941,Greentree,BETH,20817,RLU,AP,1277972.0,485867.0,POINT (1277972 485867)
3520377,Stonington,SILV,20902,RLU,AP,1307025.0,504826.0,POINT (1307025 504826)
1058780,Sycamore,TAKO,20912,ACC3,LI,1310905.0,477362.0,POINT (1310905 477362)
3595281,Howard Chapel,DAMA,20872,RLU,PE,1261437.0,594880.0,POINT (1261437 594880)
3051780,Conrad Spring,BOYD,20841,RLU,AP,1220673.0,568649.0,POINT (1220673 568649)
666826,Sinnott,BETH,20817,ACC3,PE,1276063.0,493564.0,POINT (1276063 493564)
3356400,Primula,LAYT,20882,RLU,AP,1263566.0,577739.0,POINT (1263566 577739)
1734697,River,POTO,20854,ACC,LI,1234361.0,504840.0,POINT (1234361 504840)
1336161,Cory,WHEA,20902,RLU,AP,1297216.0,504879.0,POINT (1297216 504879)
1825565,Royal Dominion,BETH,20817,RLU,AP,1268452.0,480358.0,POINT (1268452 480358)
344074,Eldrid,SILV,20904,ACC3,LI,1309408.0,509443.0,POINT (1309408 509443)
709881,Mt Everest,SILV,20906,ACC,LI,1295816.0,528801.0,POINT (1295816 528801)
594360,Lowell,BETH,20817,ACC,LI,1276727.0,485450.0,POINT (1276727 485450)
1971126,Blue Violet,GAIT,20879,RLU,AP,1262774.0,546280.0,POINT (1262774 546280)
1324607,Hyde,SILV,20902,ACC3,PE,1306682.0,502109.0,POINT (1306682 502109)
2651371,Kaul,GERM,20876,RLU,AP,1252251.0,559879.0,POINT (1252251 559879)
338665,Broadmore,SILV,20904,RLU,AP,1315707.0,510401.0,POINT (1315707 510401)
356265,Chartwell,SILV,20904,RLU,AP,1307710.0,511468.0,POINT (1307710 511468)
1450728,Queensguard,SILV,20906,ACC3,LI,1300726.0,517399.0,POINT (1300726 517399)
1330621,Charlton,SILV,20902,ACC,LI,1308295.0,501615.0,POINT (1308295 501615)
891735,Toulone,POTO,20854,RLU,AP,1260066.0,503058.0,POINT (1260066 503058)
253732,Schindler,SILV,20903,ACC3,FC,1315135.0,496411.0,POINT (1315135 496411)
2535635,Preakness,DAMA,20872,RLU,AP,1249366.0,578210.0,POINT (1249366 578210)
1080996,Buffalo,TAKO,20912,RLU,AP,1306680.0,478591.0,POINT (1306680 478591)
1148813,Sundale,SILV,20910,ACC3,LI,1299059.0,485622.0,POINT (1299059 485622)
310695,Orchard,SILV,20904,RLU,AP,1315351.0,515684.0,POINT (1315351 515684)
2043272,Showbarn,DAMA,20872,RLU,AP,1253167.0,580915.0,POINT (1253167 580915)
3219650,Iron Gate,ROCK,20854,RLU,PE,1256005.0,493926.0,POINT (1256005 493926)
2265525,Hourglass,GERM,20876,ACC,EX,1243919.0,558046.0,POINT (1243919 558046)
289198,New Hampshire,SILV,20903,ACC,EX,1318023.0,494538.0,POINT (1318023 494538)
336600,Briggs Chaney,SILV,20905,RLU,AP,1325968.0,517532.0,POINT (1325968 517532)
468226,Brookville,CHEV,20815,ACC,LI,1292034.0,479027.0,POINT (1292034 479027)
502304,Wiscasset,BETH,20816,ACC,PE,1275632.0,473496.0,POINT (1275632 473496)
2524665,Holly Leaf,BETH,20817,RLU,AP,1258761.0,480550.0,POINT (1258761 480550)
1019403,Dupont,KENS,20895,ACC,LI,1291732.0,496994.0,POINT (1291732 496994)
448467,Maryland,BETH,20816,ACC,PE,1278061.0,465553.0,POINT (1278061 465553)
271651,Norwood,SILV,20905,ACC,EX,1306531.0,530584.0,POINT (1306531 530584)
1252323,Flack,SILV,20906,RLU,AP,1297564.0,507455.0,POINT (1297564 507455)
1201005,University,KENS,20895,RLU,AP,1293890.0,498492.0,POINT (1293890 498492)
2213954,Wellesley,GLEN,20812,ACC,LI,1271226.0,475260.0,POINT (1271226 475260)
474581,Ridgewood,CHEV,20815,RLU,AP,1288585.0,479582.0,POINT (1288585 479582)
3051791,Conrad Spring,BOYD,20841,RLU,AP,1220808.0,568421.0,POINT (1220808 568421)
