FID,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC,NEAR_FID,NEAR_DIST,Type
61188,61189,0293 12  0024,498037, ,2023-01-01,1,TH,031,1974, ,656,0.005471006,
40841,40842,0262 09020039,547954, ,2023-01-01,1,TH,031,1977, ,676,0.00547353,
35165,35166,0174 39010065,575308, ,2023-01-01,1,TH,031,2022, ,676,0.005479705,
99783,99784,0293 24  0001,269188, ,2023-01-01,1,TH,031,1994, ,656,0.005492461,
16720,16721,0174 39010034,575021, ,2023-01-01,1,TH,031,2022, ,676,0.005494424,
60691,60692,0293 12  0047,499368, ,2023-01-01,1,TH,031,1974, ,656,0.005494616,
47681,47682,0293 12  0046,493981, ,2023-01-01,1,TH,031,1974, ,656,0.005515299,
67770,67771,0293 12  0045,152492, ,2023-01-01,1,TH,031,1974, ,656,0.005525624,
31940,31941,0262 09020040,547960, ,2023-01-01,1,TH,031,1977, ,676,0.005526429,
60689,60690,0293 12  0025,499758, ,2023-01-01,1,TH,031,1974, ,656,0.005526653,
57470,57471,0262 131A0006,542171, ,2023-01-01,1,TH,031,1979, ,676,0.005527663,
16724,16725,0174 39010079,575328, ,2023-01-01,1,TH,031,2022, ,676,0.005529264,
49752,49753,0262 131A0004,542167, ,2023-01-01,1,TH,031,1979, ,676,0.005536962,
77061,77062,0293 12  0044,408331, ,2023-01-01,1,TH,031,1974, ,656,0.005537013,
59418,59419,0262 131A0003,542216, ,2023-01-01,1,TH,031,1979, ,676,0.005540341,
25395,25396,0174 39010033,575022, ,2023-01-01,1,TH,031,2022, ,676,0.00554764,
4285,4286,0174 39010066,575309, ,2023-01-01,1,TH,031,2022, ,676,0.00554807,
77060,77061,0293 12  0043,219569, ,2023-01-01,1,TH,031,1974, ,656,0.005548143,
16717,16718,0174 39010001,575338, ,2023-01-01,1,TH,031,2021, ,676,0.005550237,
56507,56508,0262 131A0002,542195, ,2023-01-01,1,TH,031,1979, ,676,0.005554836,
60246,60247,0293 12  0042,495702, ,2023-01-01,1,TH,031,1974, ,656,0.005559969,
54767,54768,0262 131A0001,542586, ,2023-01-01,1,TH,031,1979, ,676,0.005563154,
95320,95321,0293 24  0009,529739, ,2023-01-01,1,TH,031,1995, ,656,0.005572176,
62684,62685,0293 12  0041,499741, ,2023-01-01,1,TH,031,1974, ,656,0.005573004,
55272,55273,0262 131A0007,542187, ,2023-01-01,1,TH,031,1978, ,676,0.005573496,
99184,99185,0293 24  0124,361743, ,2023-01-01,1,TH,031,1996, ,656,0.005576651,
50990,50991,0262 09140020,204262, ,2023-01-01,1,SF,011,1978, ,676,0.005582249,
95318,95319,0293 24  0002,529721, ,2023-01-01,1,TH,031,1994, ,656,0.005583564,
60245,60246,0293 12  0040,287147, ,2023-01-01,1,TH,031,1974, ,656,0.005585747,
68418,68419,0293 12  0026,170506, ,2023-01-01,1,TH,031,1974, ,656,0.005585951,
50085,50086,0262 09020041,547969, ,2023-01-01,1,TH,031,1977, ,676,0.005587177,
16723,16724,0174 39010078,575327, ,2023-01-01,1,TH,031,2021, ,676,0.005594297,
49547,49548,0303 28010002,583553, ,2023-01-01,18,TH,033,1968,GARDEN APARTMENT,658,0.005598143,
58014,58015,0174 39010032,575023, ,2023-01-01,1,TH,031,2022, ,676,0.005600885,
55686,55687,0174 39010067,575322, ,2023-01-01,1,TH,031,2022, ,676,0.0056009,
37864,37865,0293 12  0039,498562, ,2023-01-01,1,TH,031,1974, ,656,0.005605395,
95819,95820,0293 24  0123,365707, ,2023-01-01,1,TH,031,1996, ,656,0.005606325,
6138,6139,0174 39010002,575337, ,2023-01-01,1,TH,031,2021, ,676,0.00561348,
60908,60909,0262 131A0008,543045, ,2023-01-01,1,TH,031,1979, ,676,0.005619479,
40842,40843,0262 09020042,547932, ,2023-01-01,1,TH,031,1976, ,676,0.005623978,
111902,111903,0293 24  0122,329881, ,2023-01-01,1,TH,031,1996, ,656,0.005631763,
45113,45114,0262 09140025,545997, ,2023-01-01,1,SF,011,1979, ,676,0.005641904,
48021,48022,0174 39010026A,578103, ,2023-01-01,1,TH,031,2022, ,676,0.005643593,
60242,60243,0293 12  0027,150392, ,2023-01-01,1,TH,031,1974, ,656,0.005647456,
17132,17133,0174 39010077,575326, ,2023-01-01,1,TH,031,2022, ,676,0.005652888,
14867,14868,0174 39010068,575323, ,2023-01-01,1,TH,031,2022, ,676,0.005653762,
73737,73738,0174 39010031,575024, ,2023-01-01,1,TH,031,2022, ,676,0.005654153,
36072,36073,0293 24  0121,241547, ,2023-01-01,1,TH,031,1996, ,656,0.005659248,
16718,16719,0174 39010027,575015, ,2023-01-01,1,TH,031,2022, ,676,0.00566345,
49102,49103,0293 24  0003,529723, ,2023-01-01,1,TH,031,1994, ,656,0.005664365,
55646,55647,0262 131A0009,542225, ,2023-01-01,1,TH,031,1979, ,676,0.0056682,
17130,17131,0174 39010003,575336, ,2023-01-01,1,TH,031,2022, ,676,0.005671441,
95319,95320,0293 24  0008,529735, ,2023-01-01,1,TH,031,1995, ,656,0.005672332,
47677,47678,0293 11  0199,545323, ,2023-01-01,1,SF,011,1965, ,655,0.005680267,
48022,48023,0174 39010028,578102, ,2023-01-01,1,TH,031,2022, ,676,0.005682341,
48442,48443,0293 24  0120,215242, ,2023-01-01,1,TH,031,1996, ,656,0.005690378,
42549,42550,0262 09020043,547961, ,2023-01-01,1,TH,031,1976, ,676,0.005696012,
47403,47404,0174 17  0001C,553076, ,2023-01-01,105,LR,076,2020,SENIOR ASSISTED LIVING,676,0.005702144,
25397,25398,0174 39010076,575325, ,2023-01-01,1,TH,031,2022, ,676,0.005705017,
47680,47681,0293 12  0038,497379, ,2023-01-01,1,TH,031,1974, ,656,0.005706421,
19256,19257,0174 39010069,575311, ,2023-01-01,1,TH,031,2022, ,676,0.005706653,
13280,13281,0174 39010030,575025, ,2023-01-01,1,TH,031,2022, ,676,0.005707448,
47336,47337,0293 12  0028,498126, ,2023-01-01,1,TH,031,1974, ,656,0.00571728,
50991,50992,0262 09140021,232764, ,2023-01-01,1,SF,011,1978, ,676,0.005720821,
62394,62395,0262 131A0010,542240, ,2023-01-01,1,TH,031,1979, ,676,0.005727621,
60690,60691,0293 12  0037,491342, ,2023-01-01,1,TH,031,1974, ,656,0.005729608,
19253,19254,0174 39010004,575335, ,2023-01-01,1,TH,031,2021, ,676,0.005735923,
38910,38911,0293 24  0119,298470, ,2023-01-01,1,TH,031,1995, ,656,0.005742717,
77059,77060,0293 12  0036,496604, ,2023-01-01,1,TH,031,1974, ,656,0.005745579,
103046,103047,0293 24  0004,529730, ,2023-01-01,1,TH,031,1994, ,656,0.005749299,
103627,103628,0293 24  0007,529724, ,2023-01-01,1,TH,031,1995, ,656,0.005754114,
16719,16720,0174 39010029A,578101, ,2023-01-01,1,TH,031,2022, ,676,0.005758261,
25396,25397,0174 39010075,575324, ,2023-01-01,1,TH,031,2022, ,676,0.005763713,
60244,60245,0293 12  0035,183733, ,2023-01-01,1,TH,031,1974, ,656,0.005764594,
33484,33485,0262 09140026,542224, ,2023-01-01,1,SF,011,1979, ,676,0.005765857,
73739,73740,0174 39010070,575312, ,2023-01-01,1,TH,031,2022, ,676,0.005766189,
48311,48312,0262 09020044,547953, ,2023-01-01,1,TH,031,1976, ,676,0.005773482,
51504,51505,0293 24  0118,194476, ,2023-01-01,1,TH,031,1995, ,656,0.005781876,
67993,67994,0293 12  0034,315933, ,2023-01-01,1,TH,031,1974, ,656,0.005784523,
111415,111416,0293 24  0055,248567, ,2023-01-01,1,TH,031,1995, ,656,0.005788762,
46275,46276,0303 01  0006A,580037, ,2023-01-01,222,HR,046,2015,ELEVATOR APARTMENT,658,0.005798935,
16399,16400,0174 39010005,575334, ,2023-01-01,1,TH,031,2021, ,676,0.005800491,
67992,67993,0293 12  0033,168760, ,2023-01-01,1,TH,031,1974, ,656,0.005804321,
38723,38724,0294 04100111,425995, ,2023-01-01,1,LR,041,1974, ,658,0.005816002,
39506,39507,0293 24  0117,137014, ,2023-01-01,1,TH,031,1995, ,656,0.005816931,
62683,62684,0293 12  0032,268086, ,2023-01-01,1,TH,031,1974, ,656,0.005824878,
48068,48069,0262 09020045,546667, ,2023-01-01,1,TH,031,1976, ,676,0.00582713,
33315,33316,0294 17  0114,573692, ,2023-01-01,1,MR,043,2020, ,658,0.005827793,
23535,23536,0174 39010074,575321, ,2023-01-01,1,TH,031,2022, ,676,0.005828992,
53078,53079,0262 09140023,545982, ,2023-01-01,1,SF,011,1979, ,676,0.00583018,
99023,99024,0293 24  0116,392230, ,2023-01-01,1,TH,031,1995, ,656,0.005833017,
20173,20174,0174 39010071,575313, ,2023-01-01,1,TH,031,2022, ,676,0.005837892,
36770,36771,0293 24  0005,337061, ,2023-01-01,1,TH,031,1994, ,656,0.005844832,
103047,103048,0293 24  0006,127590, ,2023-01-01,1,TH,031,1995, ,656,0.005845408,
66087,66088,0293 12  0031,499753, ,2023-01-01,1,TH,031,1974, ,656,0.005846544,
39205,39206,0303 28010001A,580097, ,2023-01-01,319,HR,046,2018,ELEVATOR APARTMENT,658,0.005847869,
26753,26754,0293 24  0115,156555, ,2023-01-01,1,TH,031,1995, ,656,0.005855172,
2289,2290,0174 39010006,575333, ,2023-01-01,1,TH,031,2021, ,676,0.005865133,
40642,40643,0262 09020046,546662, ,2023-01-01,1,TH,031,1976, ,676,0.005867005,
59413,59414,0262 13030039,546007, ,2023-01-01,1,SF,011,1980, ,676,0.00586738,
60243,60244,0293 12  0030,495710, ,2023-01-01,1,TH,031,1974, ,656,0.005871998,
49106,49107,0293 24  0056,257504, ,2023-01-01,1,TH,031,1995, ,656,0.005878388,
47337,47338,0293 12  0029,495470, ,2023-01-01,1,TH,031,1974, ,656,0.00588881,
58015,58016,0174 39010073,575320, ,2023-01-01,1,TH,031,2022, ,676,0.005894339,
36071,36072,0293 24  0114,319201, ,2023-01-01,1,TH,031,1997, ,656,0.005896834,
38131,38132,0262 09020047,547952, ,2023-01-01,1,TH,031,1976, ,676,0.005907847,
25392,25393,0174 39010007,575332, ,2023-01-01,1,TH,031,2021, ,676,0.005929852,
39505,39506,0293 24  0113,430517, ,2023-01-01,1,TH,031,1997, ,656,0.005931471,
73516,73517,0262 09020048,547920, ,2023-01-01,1,TH,031,1976, ,676,0.005954564,
57471,57472,0262 131A0011,542145, ,2023-01-01,1,TH,031,1979, ,676,0.005956226,
26752,26753,0293 24  0112,129829, ,2023-01-01,1,TH,031,1997, ,656,0.005958089,
37985,37986,0262 131A0018,542191, ,2023-01-01,1,TH,031,1979, ,676,0.005958449,
115485,115486,0293 24  0057,209955, ,2023-01-01,1,TH,031,1995, ,656,0.005962138,
16212,16213,0174 39010072,575319, ,2023-01-01,1,TH,031,2022, ,676,0.005965208,
67990,67991,0293 11  0198,403742, ,2023-01-01,1,SF,011,1965, ,655,0.005966769,
51503,51504,0293 24  0111,161194, ,2023-01-01,1,TH,031,1997, ,656,0.005985369,
61752,61753,0262 131A0019,542230, ,2023-01-01,1,TH,031,1979, ,676,0.005986514,
25393,25394,0174 39010008,575331, ,2023-01-01,1,TH,031,2021, ,676,0.005988164,
53079,53080,0262 09140024,546004, ,2023-01-01,1,SF,011,1979, ,676,0.005994212,
43466,43467,0262 131A0012,542138, ,2023-01-01,1,TH,031,1979, ,676,0.005996596,
40843,40844,0262 09020049,546675, ,2023-01-01,1,TH,031,1976, ,676,0.005997202,
101115,101116,0293 19  0006A,492059, ,2023-01-01,1,TH,031,1982, ,656,0.006001564,
58261,58262,0262 131A0020,542218, ,2023-01-01,1,TH,031,1979, ,676,0.006007895,
46053,46054,0293 24  0110,405508, ,2023-01-01,1,TH,031,1997, ,656,0.006015473,
55986,55987,0262 131A0013,542175, ,2023-01-01,1,TH,031,1979, ,676,0.006027814,
60248,60249,0293 14  0040,368006, ,2023-01-01,1,SF,011,1978, ,655,0.006039997,
62395,62396,0262 131A0021,542157, ,2023-01-01,1,TH,031,1979, ,676,0.006045112,
73517,73518,0262 09020050,547966, ,2023-01-01,1,TH,031,1976, ,676,0.006048008,
103051,103052,0293 24  0058,149741, ,2023-01-01,1,TH,031,1995, ,656,0.006048149,
19571,19572,0174 39010009,575330, ,2023-01-01,1,TH,031,2021, ,676,0.006054828,
99183,99184,0293 24  0109,393911, ,2023-01-01,1,TH,031,1995, ,656,0.006062326,
55987,55988,0262 131A0014,542233, ,2023-01-01,1,TH,031,1979, ,676,0.006063351,
95312,95313,0293 19  0005A,495057, ,2023-01-01,1,TH,031,1982, ,656,0.006079139,
55647,55648,0262 131A0022,542207, ,2023-01-01,1,TH,031,1979, ,676,0.006079986,
34489,34490,0293 17020902,451643, ,2023-01-01,1,HR,045,1978, ,656,0.006083114,
35146,35147,0294 04070301,453669, ,2023-01-01,1,LR,041,1974, ,658,0.006088526,
56501,56502,0262 13030040,237067, ,2023-01-01,1,SF,011,1979, ,676,0.006090666,
57576,57577,0262 131A0015,542231, ,2023-01-01,1,TH,031,1979, ,676,0.006094248,
95311,95312,0293 17060002,450414, ,2023-01-01,1,MP,035,1978, ,656,0.006098613,
51502,51503,0293 24  0108,340324, ,2023-01-01,1,TH,031,1995, ,656,0.006098899,
44475,44476,0293 24  0010,387724, ,2023-01-01,1,TH,031,1994, ,656,0.006123088,
60342,60343,0262 131A0016,542229, ,2023-01-01,1,TH,031,1979, ,676,0.006125222,
99182,99183,0293 24  0107,263841, ,2023-01-01,1,TH,031,1995, ,656,0.006128025,
15313,15314,0174 39010015,575310, ,2023-01-01,1,TH,031,2022, ,676,0.006132333,
47089,47090,0293 24  0011,298570, ,2023-01-01,1,TH,031,1994, ,656,0.006138904,
100225,100226,0293 24  0059,275792, ,2023-01-01,1,TH,031,1995, ,656,0.00613956,
103621,103622,0293 19  0004A,200231, ,2023-01-01,1,TH,031,1982, ,656,0.006146305,
36073,36074,0293 25  0001,325393, ,2023-01-01,1,TH,031,1997, ,656,0.006153426,
116891,116892,0293 24  0015,129407, ,2023-01-01,1,TH,031,1994, ,656,0.006153868,
58670,58671,0293 14  0039A,156687, ,2023-01-01,1,SF,011,1978, ,655,0.006155584,
46055,46056,0293 25  0016,529710, ,2023-01-01,1,TH,031,1997, ,656,0.006156457,
44476,44477,0293 24  0012,336852, ,2023-01-01,1,TH,031,1995, ,656,0.006157096,
35162,35163,0174 39010014,575314, ,2023-01-01,1,TH,031,2021, ,676,0.00615711,
39508,39509,0293 25  0015,529746, ,2023-01-01,1,TH,031,1997, ,656,0.00615993,
50603,50604,0293 24  0106,237334, ,2023-01-01,1,TH,031,1995, ,656,0.006159953,
45228,45229,0293 24  0014,361922, ,2023-01-01,1,TH,031,1994, ,656,0.006163209,
94607,94608,0262 131A0017,542217, ,2023-01-01,1,TH,031,1979, ,676,0.006164705,
97635,97636,0293 25  0014,529738, ,2023-01-01,1,TH,031,1997, ,656,0.006168634,
26755,26756,0293 25  0013,529745, ,2023-01-01,1,TH,031,1997, ,656,0.006172938,
39731,39732,0293 24  0016,260799, ,2023-01-01,1,TH,031,1995, ,656,0.006175133,
95321,95322,0293 24  0013,278965, ,2023-01-01,1,TH,031,1994, ,656,0.006175321,
59805,59806,0293 11  0200,545314, ,2023-01-01,1,SF,011,1965, ,655,0.006176107,
25394,25395,0174 39010013,575315, ,2023-01-01,1,TH,031,2021, ,676,0.006177568,
50604,50605,0293 25  0012,272168, ,2023-01-01,1,TH,031,1997, ,656,0.006180533,
51666,51667,0293 24  0105,155972, ,2023-01-01,1,TH,031,1995, ,656,0.006193527,
103048,103049,0293 24  0017,197538, ,2023-01-01,1,TH,031,1994, ,656,0.006194127,
20171,20172,0174 39010012,575316, ,2023-01-01,1,TH,031,2022, ,676,0.006198312,
4284,4285,0174 39010010,575318, ,2023-01-01,1,TH,031,2021, ,676,0.006199632,
47676,47677,0293 11  0197,161737, ,2023-01-01,1,SF,011,1966, ,655,0.006203866,
49099,49100,0293 19  0003A,491776, ,2023-01-01,1,TH,031,1982, ,656,0.00620966,
19254,19255,0174 39010011,575317, ,2023-01-01,1,TH,031,2021, ,676,0.006219651,
99784,99785,0293 24  0018,386338, ,2023-01-01,1,TH,031,1994, ,656,0.006221963,
50602,50603,0293 24  0104,200046, ,2023-01-01,1,TH,031,1995, ,656,0.006231533,
101267,101268,0293 21  0011,529744, ,2023-01-01,1,TH,031,1984, ,656,0.006239202,
35147,35148,0294 04080110,452645, ,2023-01-01,1,LR,041,1974, ,658,0.006253852,
37986,37987,0262 131A0023,542188, ,2023-01-01,1,TH,031,1979, ,676,0.006256998,
39730,39731,0293 19  0002A,306613, ,2023-01-01,1,TH,031,1982, ,656,0.006270562,
50374,50375,0291 19010063,547407, ,2023-01-01,1,LR,041,1999, ,655,0.006278166,
36074,36075,0293 25  0002,529719, ,2023-01-01,1,TH,031,1997, ,656,0.006279734,
95324,95325,0293 24  0060,493879, ,2023-01-01,1,TH,031,1995, ,656,0.006299698,
50087,50088,0262 09130002,542249, ,2023-01-01,1,SF,011,1978, ,676,0.006312842,
55729,55730,0293 14  0041,337505, ,2023-01-01,1,SF,011,1977, ,655,0.006314172,
111420,111421,0293 24  0103,299581, ,2023-01-01,1,TH,031,1994, ,656,0.006314608,
57577,57578,0262 131A0024,542134, ,2023-01-01,1,TH,031,1979, ,676,0.006316495,
62391,62392,0262 13030041,542180, ,2023-01-01,1,SF,011,1979, ,676,0.006319473,
50375,50376,0291 19020078,547411, ,2023-01-01,1,LR,041,1999, ,655,0.006327872,
36820,36821,0303 27130112,451487, ,2023-01-01,1,LR,041,1974, ,658,0.00633958,
106065,106066,0293 24  0102,212728, ,2023-01-01,1,TH,031,1994, ,656,0.006343904,
67982,67983,0293 01  0016,516638, ,2023-01-01,274,MR,042,1976,SUBSIDIZED APARTMENT,655,0.006348762,
53035,53036,0293 19  0001A,402524, ,2023-01-01,1,TH,031,1982, ,656,0.006351027,
101268,101269,0293 21  0012,281801, ,2023-01-01,1,TH,031,1984, ,656,0.006351719,
49101,49102,0293 21  0010,148511, ,2023-01-01,1,TH,031,1983, ,656,0.006353019,
62396,62397,0262 131A0025,542165, ,2023-01-01,1,TH,031,1979, ,676,0.006367685,
47092,47093,0293 24  0101,321422, ,2023-01-01,1,TH,031,1994, ,656,0.006368061,
66866,66867,0262 13010001,328315, ,2023-01-01,1,TH,031,1977, ,676,0.00637436,
38225,38226,0262 09130003,164331, ,2023-01-01,1,SF,011,1978, ,676,0.006375228,
62688,62689,0293 14  0029A,170786, ,2023-01-01,1,SF,011,1978, ,655,0.006387316,
55979,55980,0262 13010006,542136, ,2023-01-01,1,TH,031,1977, ,676,0.006390748,
53040,53041,0293 24  0100,277005, ,2023-01-01,1,TH,031,1994, ,656,0.006391969,
40826,40827,0293 24  0061,500185, ,2023-01-01,1,TH,031,1996, ,656,0.006392907,
74294,74295,0293 14  0038,135708, ,2023-01-01,1,SF,011,1978, ,655,0.006399529,
40644,40645,0262 09130001,542204, ,2023-01-01,1,SF,011,1978, ,676,0.006401097,
50376,50377,0291 19030041,547513, ,2023-01-01,1,LR,041,1999, ,655,0.006405974,
62397,62398,0262 131A0026,542246, ,2023-01-01,1,TH,031,1979, ,676,0.0064119,
120627,120628,0293 24  0099,254672, ,2023-01-01,1,TH,031,1994, ,656,0.006420743,
58668,58669,0293 11  0196,569567, ,2023-01-01,1,SF,011,1966, ,655,0.006429112,
115483,115484,0293 21  0013,193127, ,2023-01-01,1,TH,031,1984, ,656,0.006431047,
