NAME,ADDRESS,FACUSE,STATUS,PHONE,TOTAL_STUD,GIS_ID,WEB_URL,CAPACITY,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,FACILITY_ID,GLOBALID
Roosevelt High School,4301 13TH STREET NW,High School,Active,202-576-6130,497,dcps_459,http://profiles.dcps.dc.gov/Roosevelt+High+School,1055,331900,1100,-77.029197,38.943029,2023-2024,District of Columbia Public Schools,Roosevelt High School,459,9th-12th,252605,397468.88,141682.3,20011,DGS_0610.0,{3F2A258A-CF04-41EB-8BA0-2FDFED67A3A5}
Roosevelt STAY High School ,4301 13TH STREET NW,Youth Engagement,Active,202-576-8399,497,dcps_913,http://www.rooseveltstay.org/,,,,-77.029197,38.943029,2023-2024,District of Columbia Public Schools,Roosevelt STAY High School ,456,9th-12th,252605,397468.88,141682.3,20011,DGS_0610.0,{A1D8D0D3-D954-45D9-8FC5-1EED38D6E50C}
Ross Elementary School,1730 R STREET NW,Elementary School,Active,202-673-7200,157,dcps_305,http://www.rosselementary.org/,,,,-77.03966214,38.91239115,2023-2024,District of Columbia Public Schools,Ross Elementary School,305,PK3-5th,241714,396560.15,138281.53,20009,DGS_0340.0,{051BFD1C-DFF2-4596-AAEA-B3FF56462747}
Savoy Elementary School,2400 SHANNON PLACE SE,Elementary School,Active,202-939-2000,344,dcps_307,http://profiles.dcps.dc.gov/Savoy+Elementary+School,479,64800,450,-76.99360426,38.86285199,2023-2024,District of Columbia Public Schools,Savoy Elementary School,307,PK3-5th,278153,400555.08,132781.57,20020,DGS_0419.0,{8997E12D-7763-4D03-9FF4-1DA92F7BFCA8}
School Without Walls @ Francis-Stevens,2425 N STREET NW,Education Campus,Active,202-724-4841,233,dcps_409,http://www.swwfs.org/,520,95100,450,-77.052321,38.9074695,2023-2024,District of Columbia Public Schools,School Without Walls @ Francis-Stevens,409,PK3-8th,294544,395461.95,137735.74,20037,DGS_0420.0,{A01338C3-48B6-4099-B86F-DF4274532EEE}
School Without Walls High School,2130 G STREET NW,High School/Specialized,Active,202-645-9690,527,dcps_466,http://www.swwhs.org/,,47200,,-77.04818647,38.89812412,2023-2024,District of Columbia Public Schools,School Without Walls High School,466,9th-12th,242528,395820.01,136698.13,20037,DGS_0388.0,{FDC06CF9-4273-4968-9B4B-38990A2E3A53}
School-Within-School,920 F STREET NE,Elementary School/Specialized,Active,202-673-8275,84,dcps_201,http://www.schoolwithinschool.org,,,,-76.99318304,38.89756498,2023-2024,District of Columbia Public Schools,School-Within-School,175,PK3-5th,289072,400591.35,136634.98,20002,DGS_0762.0,{EF043D81-D9A8-4A38-B916-4BF787D4CFFE}
Seaton Elementary School,1503 10TH STREET NW,Elementary School,Active,202-673-7215,265,dcps_309,http://seatondc.org/,428,65000,325,-77.02488247,38.9106187,2023-2024,District of Columbia Public Schools,Seaton Elementary School,309,PK3-5th,279203,397841.92,138084.32,20001,DGS_0177.0,{43884E0E-43C2-49EF-99ED-DD8BB194573E}
Shaw Middle School,2001 10TH STREET NW,Middle School,Not Open,202-673-7329,,dcps_971,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,,,,-77.02574879,38.91754511,2023-2024,District of Columbia Public Schools,Shaw Middle School,0, ,294533,397767,138853.23,20001,N/A,{F1EDF458-77E8-4959-AF62-E49E10F908D5}
Shepherd Elementary School,7800 14TH STREET NW,Elementary School,Active,202-576-6140,331,dcps_313,http://www.shepherd-elementary.org,332,79700,400,-77.03399523,38.98460328,2023-2024,District of Columbia Public Schools,Shepherd Elementary School,313,PK3-5th,256319,397054.62,146297.53,20012,DGS_0296.0,{F3AE65DD-B6EB-49A3-A8D4-EC7AF4232BFA}
Simon Elementary School,401 MISSISSIPPI AVENUE SE,Elementary School,Active,202-645-3360,252,dcps_315,http://profiles.dcps.dc.gov/Simon+Elementary+School,549,66200,325,-77.000195,38.83598054,2023-2024,District of Columbia Public Schools,Simon Elementary School,315,PK3-5th,294481,399983.07,129798.63,20032,DGS_0568.0,{767ECD06-E281-46FC-8A91-3F542322D42F}
Smothers Elementary School,4400 BROOKS STREET NE,Elementary School,Active,202-939-3600,242,dcps_322,http://www.myschooldc.org/schools/profile/104/,332,43000,325,-76.93846864,38.89355404,2023-2024,District of Columbia Public Schools,Smothers Elementary School,322,PK3-5th,294596,405337.95,136191.51,20019,DGS_0612.0,{5B7FCC9E-9099-4B14-A671-95F677D9763F}
Sousa Middle School,3650 ELY PLACE SE,Middle School,Active,202-729-3260,348,dcps_427,http://www.sousamiddleschool.org/,,,,-76.95315884,38.88389441,2023-2024,District of Columbia Public Schools,Sousa Middle School,427,6th-8th,294584,404064.1,135118.46,20019,DGS_0536.0,{7AA2C217-1221-4F01-8F8F-3E3EB9E8D539}
Stanton Elementary School,2701 NAYLOR ROAD SE,Elementary School,Active,202-671-6180,355,dcps_319,http://profiles.dcps.dc.gov/Stanton+Elementary+School,547,83800,400,-76.96849023,38.85927211,2023-2024,District of Columbia Public Schools,Stanton Elementary School,319,PK3-5th,294547,402734.84,132384.63,20020,DGS_0443.0,{F5E25DB6-974D-43A3-A1D3-1373AFBE60E1}
Stevens Early Learning Center,1050 21ST STREET NW,Specialized School,Active,202-698-0677,,dcps_983,https://profiles.dcps.dc.gov/Thaddeus+Stevens+Early+Learning+Center,,,,-77.046832,38.903163,2023-2024,District of Columbia Public Schools,Stevens Early Learning Center,0,PK3-PK4,294506,395937.79,137257.38,20036,,{A4F01AF0-2E75-4BD3-A730-186376408ED9}
Stoddert Elementary School,4001 CALVERT STREET NW,Elementary School,Active,202-671-6030,347,dcps_321,http://www.stoddert.org,213,17400,325,-77.0790738,38.92304465,2023-2024,District of Columbia Public Schools,Stoddert Elementary School,321,PK4-5th,224730,393143.05,139466.38,20007,DGS_0578.0,{F36BD540-9FB4-4C0F-A6DA-5778984DB618}
Stuart-Hobson Middle School,410 E STREET NE,Middle School,Active,202-671-6010,403,dcps_428,http://www.capitolhillclusterschool.org/our-schools/stuart-hobson-middle-school,460,105900,450,-77.00000438,38.8962977,2023-2024,District of Columbia Public Schools,Stuart-Hobson Middle School,428,6th-8th,294483,399999.62,136494.28,20002,DGS_0576.0,{6958A16B-DF37-46D1-BCFD-5B1845C7CA38}
Takoma Elementary School,7010 PINEY BRANCH ROAD NW,Elementary School,Active,202-671-6050,306,dcps_3241,http://www.takomaec.us/,467,119000,450,-77.02279493,38.97504287,2023-2024,District of Columbia Public Schools,Takoma Elementary School,324,PK3-5th,250934,398024.76,145235.93,20012,DGS_0723.0,{833E1CDF-0DF4-496F-9DA2-D103079CE848}
Thomas Elementary School,650 ANACOSTIA AVENUE NE,Elementary School,Active,202-724-4593,235,dcps_325,http://www.nevalthomas.org/,636,87600,325,-76.95211091,38.90127897,2023-2024,District of Columbia Public Schools,Thomas Elementary School,325,PK3-5th,294493,404154.01,137048.33,20019,DGS_0719.0,{4635474F-E6C1-439D-B1EC-E1128FF24C33}
Thomson Elementary School,1200 L STREET NW,Elementary School,Active,202-898-4660,327,dcps_326,http://www.thomsondcps.org/,,,,-77.02843003,38.90349634,2023-2024,District of Columbia Public Schools,Thomson Elementary School,326,PK3-5th,240922,397533.99,137293.77,20005,DGS_0241.0,{205B5DC4-5374-453C-BDAD-D2D9FB7329F0}
Truesdell Elementary School,800 INGRAHAM STREET NW,Elementary School,Active,202-576-6202,423,dcps_327,http://profiles.dcps.dc.gov/Truesdell+Education+Campus,471,69600,450,-77.02507158,38.95396869,2023-2024,District of Columbia Public Schools,Truesdell Elementary School,327,PK3-5th,294497,397826.84,142896.55,20011,DGS_0738.0,{B49CB1D3-2EC0-4532-ACF4-9C3383A7B6DD}
Tubman Elementary School,3101 13TH STREET NW,Elementary School,Active,202-673-7285,489,dcps_328,http://profiles.dcps.dc.gov/tubman,607,66600,450,-77.0294433,38.92919857,2023-2024,District of Columbia Public Schools,Tubman Elementary School,328,PK3-5th,294555,397447.02,140146.96,20010,DGS_0471.0,{21F758CD-F2F8-4E03-A7AF-B703E51A10A8}
Turner Elementary School,3264 STANTON ROAD SE,Elementary School,Active,202-645-3470,305,dcps_329,http://www.myschooldc.org/schools/profile/116/,,77700,,-76.98031323,38.84763644,2023-2024,District of Columbia Public Schools,Turner Elementary School,329,PK3-5th,294561,401708.96,131092.7,20032,DGS_0499.0,{2CD71C16-5AF1-45E1-A607-20AC4E8C03C6}
Tyler Elementary School,1001 G STREET SE,Elementary School,Active,202-939-4810,402,dcps_330,http://www.tylerelementary.net,452,69600,400,-76.99204166,38.88108436,2023-2024,District of Columbia Public Schools,Tyler Elementary School,330,PK3-5th,294505,400690.52,134805.51,20003,DGS_0726.0,{E9965140-636E-4052-8C9A-802D9516D369}
Van Ness Elementary School,1150 5TH STREET SE,Elementary School,Active,202-698-3818,,dcps_972,http://vannesselementary.org/,,,,-76.999244,38.87679645,2023-2024,District of Columbia Public Schools,Van Ness Elementary School,331,PK3-5th,294508,400065.6,134329.49,20003,DGS_0770.0,{ACECC417-3BA7-4A26-BFFC-615BFA917C0A}
Walker-Jones Education Campus,1125 NEW JERSEY AVENUE NW,Education Campus,Active,202-939-5934,418,dcps_332,http://walkerjoneseducampus.org/,,,,-77.01391569,38.90419198,2023-2024,District of Columbia Public Schools,Walker-Jones Education Campus,332,PK3-8th,307735,398792.97,137370.7,20001,DGS_0195.0,{09C15EA8-2791-41F8-9A6F-D4506FE30B45}
Watkins Elementary School,420 12TH STREET SE,Elementary School,Active,202-698-3355,521,dcps_333,http://www.capitolhillclusterschool.org/our-schools/watkins-elementary,578,69300,550,-76.98999677,38.88346701,2023-2024,District of Columbia Public Schools,Watkins Elementary School,333,1st-5th,294486,400867.92,135070.02,20003,DGS_0586.0,{AA98EEE9-0968-45CD-A1B2-FA6AB48BCC74}
Wheatley Education Campus,1299 NEAL STREET NE,Education Campus,Active,202-939-5970,475,dcps_335,http://profiles.dcps.dc.gov/Wheatley+Education+Campus,625,103700,400,-76.98850077,38.90411774,2023-2024,District of Columbia Public Schools,Wheatley Education Campus,335,PK3-8th,294512,400997.43,137362.43,20002,DGS_0262.0,{36F03B9D-69C5-4B3B-B6C1-245B4B746F0D}
Whittier Elementary School,6201 5TH STREET NW,Elementary School,Active,202-576-6156,346,dcps_338,http://www.whittierdc.org/,517,66600,600,-77.0192386,38.96585727,2023-2024,District of Columbia Public Schools,Whittier Elementary School,338,PK3-5th,294614,398332.71,144216.17,20011,DGS_0706.0,{B71509D7-BE04-4909-BDCE-076BC9F542C8}
Woodson High School,540 55TH STREET NE,High School,Active,202-724-4632,810,dcps_426,http://www.hdwoodsonwarriors.org/,1085,156000,450,-76.92232826,38.89678662,2023-2024,District of Columbia Public Schools,Woodson High School,464,9th-12th,309633,406737.85,136551.42,20016,DGS_0681.0,{D0CFB5C8-DE70-42B1-B4E3-310F8628E4B4}
Youth Services Center,1000 MOUNT OLIVET ROAD NE,Youth Engagement,Active,202-576-8388,67,dcps_948,http://profiles.dcps.dc.gov/Youth+Services+Center,90,,,-76.98858584,38.91213959,2023-2024,District of Columbia Public Schools,Youth Services Center,861,Alternative,290013,400989.94,138252.92,20002,N/A,{4CD7B010-CA89-44ED-94FC-D0477BC6522F}
Amidon-Bowen Elementary School,401 I STREET SW,Elementary School,Active,202-724-4867,254,dcps_203,http://profiles.dcps.dc.gov/Amidon-Bowen+Elementary+School,438,70800,400,-77.0181253,38.8795154,2023-2024,District of Columbia Public Schools,Amidon-Bowen Elementary School,203,PK3-5th,294482,398427.29,134631.47,20024,DGS_0566.0,{B426097E-E020-40A5-90F7-66DA80F22B8C}
Anacostia High School,1601 16TH STREET SE,High School,Active,202-698-2155,784,dcps_450,http://profiles.dcps.dc.gov/anacostia,1040,247900,1100,-76.98307725,38.87008406,2023-2024,District of Columbia Public Schools,Anacostia High School,450,9th-12th,155922,401468.56,133584.5,20020,DGS_0324.0,{7A99F134-5ABB-4DCA-BCCD-A4B72E6680AB}
Bancroft Elementary School,1755 NEWTON STREET NW,Elementary School,Active,202-673-7280,463,dcps_204,http://www.bancroftelementary.org,,,,-77.040553,38.934318,2023-2024,District of Columbia Public Schools,Bancroft Elementary School,204,PK3-5th,294528,396483.93,140715.67,20010,DGS_0343.0,{9B4D11E8-F011-4D4F-9029-951641815323}
Bard High School Early College DC,1351 ALABAMA AVENUE SE,High School/Specialized,Active,202-898-4664,,dcps_982,https://www.myschooldc.org/schools/profile/415,,,,-76.986147,38.844979,2023-2024,District of Columbia Public Schools,Bard High School Early College DC,1058,9th-12th,289201,401202.63,130797.63,20032,,{B3C99C04-2A73-44B5-B233-858168B25A73}
Barnard Elementary School,430 DECATUR STREET NW,Elementary School,Active,202-576-1100,482,dcps_205,http://www.myschooldc.org/schools/profile/7/,387,,,-77.01777708,38.94823095,2023-2024,District of Columbia Public Schools,Barnard Elementary School,205,PK3-5th,248305,398458.99,142259.46,20011,DGS_0605.0,{8233B4CD-DD8C-4EF0-B33A-6AB8967817AA}
Beers Elementary School,3600 ALABAMA AVENUE SE,Elementary School,Active,202-939-4800,386,dcps_206,http://profiles.dcps.dc.gov/Beers+Elementary+School,448,77500,400,-76.95560475,38.86434984,2023-2024,District of Columbia Public Schools,Beers Elementary School,206,PK3-5th,278406,403852.94,132948.76,20020,DGS_0535.0,{7F0BAE11-7615-4905-AADA-751C1B0627B5}
Benjamin Banneker High School,1600 9TH STREET NW,High School/Specialized,Active,202-671-6320,413,dcps_402,http://www.benjaminbanneker.org/,620,180000,500,-77.025121,38.912148,2023-2024,District of Columbia Public Schools,Benjamin Banneker High School,402,9th-12th,334680,397821.28,138254.13,20001,DGS_0737.0,{0CF5EF91-F643-4B73-B88E-1307226DE682}
Boone Elementary School,2200 MINNESOTA AVENUE SE,Elementary School,Active,202-671-6240,308,dcps_291,http://www.orrelementary.org/,,,,-76.97389661,38.8725643,2023-2024,District of Columbia Public Schools,Boone Elementary School,291,PK3-5th,294539,402265.18,133860.05,20020,DGS_0182.0,{993F5321-7858-42AE-8E3D-EF50C4D1F51A}
Brent Elementary School,301 NORTH CAROLINA AVENUE SE,Elementary School,Active,202-698-3363,347,dcps_212,http://brentelementary.org/,276,47500,325,-77.00145985,38.88480121,2023-2024,District of Columbia Public Schools,Brent Elementary School,212,PK3-5th,294479,399873.34,135218.08,20003,DGS_0504.0,{0309A64E-FD91-4DA7-9266-5D11ECB8DC0A}
Brightwood Elementary School,1300 NICHOLSON STREET NW,Elementary School,Active,202-722-5670,549,dcps_213,http://www.brightwoodec.org/,,,,-77.03068885,38.96053573,2023-2024,District of Columbia Public Schools,Brightwood Elementary School,213,PK3-5th,294515,397340.19,143625.7,20011,DGS_0270.0,{279BB546-EC94-4CBB-A4FE-29C4CEED2F1C}
Brookland Middle School,1150 MICHIGAN AVENUE NE,Middle School,Active,202-576-6095,,dcps_975,https://brooklandms.wordpress.com/,,,,-76.991059,38.938476,2023-2024,District of Columbia Public Schools,Brookland Middle School,347,6th-8th,294507,400775.13,141176.41,20017,DGS_0235.0,{9C7BE329-5F41-4DF7-85A9-398FA8BDF017}
Browne Education Campus,850 26TH STREET NE,Education Campus,Active,202-671-6210,384,dcps_404,http://profiles.dcps.dc.gov/Browne+Education+Campus,835,215400,750,-76.97066706,38.90259888,2023-2024,District of Columbia Public Schools,Browne Education Campus,404,PK3-8th,294501,402544.36,137194.17,20002,DGS_0422.0,{8E885C69-928A-44A1-B70F-A351810251B8}
Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,Elementary School,Active,202-576-6222,459,dcps_296,http://www.bmpv.org/,,82200,,-77.02118567,38.9344141,2023-2024,District of Columbia Public Schools,Bruce-Monroe Elementary School @ Park View,296,PK3-5th,294583,398163.16,140725.73,20010,DGS_0533.0,{A367E88B-71A3-47D4-BFB1-F60D3D04736C}
MacArthur High School,4530 MACARTHUR BOULEVARD NW,High School,Active,202-299-5506,,dcps_985,,,,,-77.086167,38.907762,2023-2024,District of Columbia Public Schools,MacArthur High School,0,9th-12th,275307,392526.38,137770.49,20007,,{A592F9CA-539C-498C-845C-F0AB6D1D0885}
Bunker Hill Elementary School,1401 MICHIGAN AVENUE NE,Elementary School,Active,202-576-6095,304,dcps_346,http://profiles.dcps.dc.gov/Bunker+Hill+Elementary+School,,,,-76.98499564,38.94201247,2023-2024,District of Columbia Public Schools,Bunker Hill Elementary School,219,PK3-5th,286131,401300.77,141569.11,20017,DGS_0301.0,{CDB15020-90EC-4B2C-88E4-5C3CC2989D0D}
Burroughs Elementary School,1820 MONROE STREET NE,Elementary School,Active,202-576-6150,296,dcps_220,http://www.jbecstem.com/,474,63900,450,-76.97845637,38.93350266,2023-2024,District of Columbia Public Schools,Burroughs Elementary School,220,PK3-5th,294530,401867.9,140624.56,20018,DGS_0356.0,{F8497BAC-823C-40F3-906C-5382D2F0B875}
Burrville Elementary School,801 DIVISION AVENUE NE,Elementary School,Active,202-671-6020,368,dcps_221,http://www.burrvillees.org/,322,95000,450,-76.92445918,38.90056577,2023-2024,District of Columbia Public Schools,Burrville Elementary School,221,PK3-5th,289787,406552.65,136970.78,20019,DGS_0740.0,{0DD937CC-4E4D-4728-925F-94380BB7BAD6}
C.W. Harris Elementary School,301 53RD STREET SE,Elementary School,Active,202-645-3188,224,dcps_247,http://cwharriselementary.org/,461,56000,325,-76.9261155,38.88359883,2023-2024,District of Columbia Public Schools,C.W. Harris Elementary School,247,PK3-5th,289801,406410.5,135087.2,20019,DGS_0455.0,{5A4647CC-EFDA-4C5C-A9D6-6CFC7D93E313}
Capitol Hill Montessori,215 G STREET NE,Elementary School/Specialized,Active,202-698-4467,211,dcps_960,http://capitolhillmontessorischool.org/,,,,-77.00256647,38.89853031,2023-2024,District of Columbia Public Schools,Capitol Hill Montessori,360,PK3-8th,286687,399777.37,136742.12,20002,DGS_0457.0,{E95D4207-5F16-4155-80F9-EE9CFF4A3B03}
Cardozo Education Campus,1200 CLIFTON STREET NW,Middle School/High School,Active,202-673-7385,477,dcps_454,http://www.cardozohs.com/,1565,355400,1100,-77.02847069,38.92217286,2023-2024,District of Columbia Public Schools,Cardozo Education Campus,454,6th-12th,294513,397531.11,139367.02,20009,DGS_0178.0,{8D41754A-752F-45AC-BB14-2F36A7C29C73}
Cleveland Elementary School,1825 8TH STREET NW,Elementary School,Active,202-939-4380,301,dcps_224,http://clevelandesdc.org/,,54427,276,-77.02270718,38.91514529,2023-2024,District of Columbia Public Schools,Cleveland Elementary School,224,PK3-5th,294531,398030.71,138586.76,20001,DGS_0357.0,{17583BBA-B5BB-42D1-93B7-C802D5FD893F}
Columbia Heights Education Campus 6–8 (CHEC),3101 16TH STREET NW,Education Campus,Active,202-939-7700,429,dcps_475,http://www.checdc.org,,,,-77.03585831,38.92954477,2023-2024,District of Columbia Public Schools,Columbia Heights Education Campus 6–8 (CHEC),442,6th-12th,234375,396890.8,140185.59,20010,DGS_0472.0,{54703FD1-1275-4134-B370-0AE14114BEEE}
Columbia Heights Education Campus 9–12 (CHEC),3101 16TH STREET NW,Education Campus,Active,202-939-7700,429,dcps_976,http://www.checdc.org,,,,-77.03585831,38.92954477,2023-2024,District of Columbia Public Schools,Columbia Heights Education Campus 9–12 (CHEC),442,6th-12th,234375,396890.8,140185.59,20010,DGS_0472.0,{E725B430-BCD0-4B28-8CAB-CF9FA4EBA85B}
Coolidge High School,6315 5TH STREET NW,High School,Active,202-671-6080,547,dcps_455,http://www.coolidgeshs.org/,1240,271300,1100,-77.01957835,38.96728457,2023-2024,District of Columbia Public Schools,Coolidge High School,455,9th-12th,294615,398303.3,144374.62,20012,DGS_0710.0,{2D0B6ACA-11F6-4427-82B7-91C5F7C6B939}
Deal Middle School,3815 FORT DRIVE NW,Middle School,Active,202-939-2010,1014,dcps_405,http://alicedeal.org/,900,180000,850,-77.07519907,38.95289674,2023-2024,District of Columbia Public Schools,Deal Middle School,405,6th-8th,277548,393481.78,142779.94,20016,DGS_0529.0,{013E3EB7-C35C-477F-A127-91660E2569C5}
Dorothy I. Height Elementary School,1300 ALLISON STREET NW,Elementary School,Active,202-723-4100,,dcps_977,http://www.dorothyheightes.org/,,,,-77.030541,38.9447,2023-2024,District of Columbia Public Schools,Dorothy I. Height Elementary School,349,PK3-5th,255251,397352.45,141867.84,20011,DGS_0775.0,{4CAD560A-FEA7-4556-A947-E13EF69E9332}
Drew Elementary School,5600 EADS STREET NE,Elementary School,Active,202-671-6040,181,dcps_231,http://www.drewelementary.org/,,,,-76.91992701,38.89599397,2023-2024,District of Columbia Public Schools,Drew Elementary School,231,PK3-5th,277686,406946.23,136463.61,20019,DGS_0687.0,{A40201FB-9B32-48AC-A921-AB80DCB769C9}
Duke Ellington School of the Arts,3500 R STREET NW,High School/Specialized,Active,202-282-0123,517,dcps_471,http://www.ellingtonschool.org,500,167500,700,-77.070308,38.913446,2023-2024,District of Columbia Public Schools,Duke Ellington School of the Arts,471,9th-12th,294569,393902.4,138400.27,20007,DGS_0526.0,{AE6A2004-AD48-424E-9EB0-849CD7DDD435}
Dunbar High School,101 N ST NW,High School,Active,202-698-3762,514,dcps_467,http://www.dunbarhsdc.org/,1095,343400,1600,-77.012691,38.907627,2023-2024,District of Columbia Public Schools,Dunbar High School,467,9th-12th,309947,398899.21,137751.95,20001,DGS_0272.0,{B5A17CF1-6E9F-4291-815A-FA1B4D6D9FFB}
Early College Academy at Coolidge High School,6315 5TH STREET NW,High School/Specialized,Active,202-671-6080,547,dcps_456,http://www.coolidgeshs.org/,1240,271300,1100,-77.01957835,38.96728457,2023-2024,District of Columbia Public Schools,Early College Academy at Coolidge High School,455,9th-12th,294615,398303.3,144374.62,20012,DGS_0710.0,{751882C2-50C4-48D7-9FDC-DA2C48ADCCF7}
