NAME,ADDRESS,FACUSE,STATUS,PHONE,TOTAL_STUD,GIS_ID,WEB_URL,CAPACITY,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,FACILITY_ID,GLOBALID
Eastern High School,1700 EAST CAPITOL STREET NE,High School,Active,202-698-4500,303,dcps_457,http://easternhighschooldc.org/intro/,1425,288800,6,-76.97968429,38.89040266,2023-2024,District of Columbia Public Schools,Eastern High School,457,9th-12th,289529,401762.5,135840.08,20003,DGS_0181.0,{0AD65226-B82C-4BA9-9B51-E2B77423AF3F}
Eaton Elementary School,3301 LOWELL STREET NW,Elementary School,Active,202-282-0103,457,dcps_232,http://www.eatondc.org/,418,49100,400,-77.06582114,38.93272707,2023-2024,District of Columbia Public Schools,Eaton Elementary School,232,PK4-5th,294562,394293.04,140540.3,20008,DGS_0507.0,{B4F7DFB6-E1FC-4B76-A436-C28048DE355F}
Eliot-Hine Middle School,1830 CONSTITUTION AVENUE NE,Middle School,Active,202-939-5380,348,dcps_407,http://www.eliothinemiddleschool.org/,850,155100,450,-76.97897792,38.89243149,2023-2024,District of Columbia Public Schools,Eliot-Hine Middle School,407,6th-8th,286499,401823.73,136065.31,20002,DGS_0359.0,{9DD14FF3-53F5-45CB-928A-552BF74D78F8}
Excel Academy,2501 MARTIN LUTHER KING JR AVENUE SE,Education Campus,Active,202-373-0097,,dcps_981,http://www.excelpcs.org,,,,-76.995355,38.859762,2023-2024,District of Columbia Public Schools,Excel Academy,318,PK3-8th,278172,400403.19,132438.56,20020,DGS_0782.0,{011D8F75-91CA-4AE7-9E88-E150F0954D8A}
Fillmore Arts Center (West),1819 35TH STREET NW,Specialized School,Active,202-729-3796,0,dcps_923,http://www.fillmoreartscenter.org/,,,,-77.0686139,38.91550903,2023-2024,District of Columbia Public Schools,Fillmore Arts Center (West),0,6th-8th,274432,394049.46,138629.13,20007,N/A,{8A491ACE-0995-4E44-BEE6-0BE4DCD25EC3}
Garfield Elementary School,2435 ALABAMA AVENUE SE,Elementary School,Active,202-671-6140,240,dcps_238,http://www.myschooldc.org/schools/profile/37/,446,58908,400,-76.97080478,38.85173338,2023-2024,District of Columbia Public Schools,Garfield Elementary School,238,PK3-5th,278160,402534.22,131547.71,20020,DGS_0421.0,{7C5B5AC3-31F0-4788-8857-37E9B574ADC7}
Garrison Elementary School,1200 S STREET NW,Elementary School,Active,202-673-7263,237,dcps_239,http://www.garrisonelementary.org/,474,60200,325,-77.02861256,38.91390129,2023-2024,District of Columbia Public Schools,Garrison Elementary School,239,PK3-5th,294509,397518.52,138448.81,20009,DGS_0242.0,{EE35A6EA-9BD0-4A97-ABC8-7165A43DFCDA}
H.D. Cooke Elementary School,2525 17TH STREET NW,Elementary School,Active,202-939-5390,396,dcps_227,http://www.hdcookeschool.org/,,,,-77.03881058,38.92394309,2023-2024,District of Columbia Public Schools,H.D. Cooke Elementary School,227,PK3-5th,235863,396634.55,139563.86,20009,DGS_0430.0,{82815678-94BF-49E6-B127-9EEC65DFFEE3}
Hardy Middle School,1819 35TH STREET NW,Middle School,Active,202-729-4350,412,dcps_246,http://www.hardyms.org,,,,-77.0686139,38.91550903,2023-2024,District of Columbia Public Schools,Hardy Middle School,246,6th-8th,274432,394049.46,138629.13,20007,DGS_0355.0,{75417828-1104-4E38-B82E-C2E0E13F88FC}
Hart Middle School,601 MISSISSIPPI AVENUE SE,Middle School,Active,202-671-6426,530,dcps_413,http://www.charleshartmiddle.org/,1110,210700,550,-76.99717875,38.83773787,2023-2024,District of Columbia Public Schools,Hart Middle School,413,6th-8th,5534,400244.94,129993.71,20032,DGS_0698.0,{A235F264-419E-4C10-AE13-398D63E32C31}
Hearst Elementary School,3950 37TH STREET NW,Elementary School,Active,202-282-0106,257,dcps_258,http://www.hearstes.org/,181,17400,325,-77.07195522,38.94072265,2023-2024,District of Columbia Public Schools,Hearst Elementary School,258,PK4-5th,294586,393761.89,141428.28,20008,DGS_0550.0,{A8605332-6694-40B7-A5E2-7B9E67DF4B3F}
Hendley Elementary School,425 CHESAPEAKE STREET SE,Elementary School,Active,202-645-3450,341,dcps_249,http://profiles.dcps.dc.gov/Hendley+Elementary+School,559,73200,325,-76.99918485,38.82898591,2023-2024,District of Columbia Public Schools,Hendley Elementary School,249,PK3-5th,24445,400070.78,129022.18,20032,DGS_0596.0,{09CCB0BF-6AD9-4ABC-92DA-4266598D512A}
Houston Elementary School,1100 50TH PLACE NE,Elementary School,Active,202-671-6170,223,dcps_251,http://www.myschooldc.org/schools/profile/44/,507,59900,325,-76.92994765,38.90541532,2023-2024,District of Columbia Public Schools,Houston Elementary School,251,PK3-5th,156316,406076.15,137508.74,20019,DGS_0219.0,{8CEAD329-4CF6-475C-AD73-85514376E943}
Hyde-Addison Elementary School,3219 O STREET NW,Elementary School,Active,202-282-0170,329,dcps_252,http://profiles.dcps.dc.gov/Hyde-Addison+Elementary+School,,,,-77.064538,38.90802,2023-2024,District of Columbia Public Schools,Hyde-Addison Elementary School,252,PK3-5th,294558,,,,DGS_0427.0,{CEFBFD34-1A8C-407E-AFF5-6553B6197BF4}
Ida B. Wells Middle School,405 SHERIDAN STREET NW,Middle School,Active,202-671-0693,,dcps_974,http://nms.sdmf.schoolfusion.us/,,,,-77.019578,38.967285,2023-2024,District of Columbia Public Schools,Ida B. Wells Middle School,1071,6th-8th,319880,398330.22,144326.94,20011,N/A,{30F418BD-D89C-4DAE-86B0-0FFD2AA5DE84}
Inspiring Youth Program,1901 D STREET SE,Youth Engagement,Active,202-698-5978,60,dcps_947,http://profiles.dcps.dc.gov/Inspiring+Youth+Program,,,,-76.97637892,38.88343091,2023-2024,District of Columbia Public Schools,Inspiring Youth Program,480,Alternative,295133,402049.46,135066.23,20003,DCPS_N/A,{B3D62CD2-B48B-45CD-BC26-51F20D78D68D}
J.O. Wilson Elementary School,660 K STREET NE,Elementary School,Active,202-698-4733,382,dcps_339,http://profiles.dcps.dc.gov/J.O.+Wilson+Elementary+School,412,98900,400,-76.99658902,38.902758,2023-2024,District of Columbia Public Schools,J.O. Wilson Elementary School,339,PK3-5th,288841,400295.87,137211.43,20002,DGS_0695.0,{E5681FD7-8688-4995-94B2-DDEBED6C9645}
Jackson-Reed High School (formerly Wilson HS),3950 CHESAPEAKE STREET NW,High School,Active,202-282-0120,1633,dcps_463,http://www.wilsonhs.org/,1485,271300,1600,-77.0777757,38.95015672,2023-2024,District of Columbia Public Schools,Wilson High School,463,9th-12th,294587,393258.18,142475.96,20016,DGS_0551.0,{6ACFEF33-57FE-43BB-9648-2B19C99D5205}
Janney Elementary School,4130 ALBEMARLE STREET NW,Elementary School,Active,202-282-0110,548,dcps_254,http://www.janneyschool.org/,364,98200,550,-77.08099483,38.94755042,2023-2024,District of Columbia Public Schools,Janney Elementary School,254,PK4-5th,285713,392978.88,142186.88,20016,DGS_0580.0,{91A55CFB-1326-4281-AA3D-E9DA1EE3382A}
Jefferson Middle School Academy,801 7TH STREET SW,Middle School,Active,202-729-3270,89,dcps_415,http://www.jeffersontrojans.org/,900,109000,450,-77.02291066,38.87987093,2023-2024,District of Columbia Public Schools,Jefferson Middle School Academy,433,6th-8th,276812,398012.08,134671.03,20024,DGS_0739.0,{42A75CCD-0B8C-412A-A1A0-9ACEAE07A728}
John Lewis Elementary School,1338 FARRAGUT STREET NW,Elementary School,Active,202-576-6226,244,dcps_336,http://www.westschool.org/,281,69600,450,-77.03241633,38.95119327,2023-2024,District of Columbia Public Schools,West Elementary School,336,PK3-5th,317768,397190.1,142588.69,20011,DGS_0179.0,{B3948460-3761-4A0E-A1C9-09837F57E4C1}
Johnson Middle School,1400 BRUCE PLACE SE,Middle School,Active,202-939-3140,252,dcps_416,http://profiles.dcps.dc.gov/Johnson+Middle+School,,277000,,-76.98370368,38.85133691,2023-2024,District of Columbia Public Schools,Johnson Middle School,416,6th-8th,294520,401414.57,131503.42,20020,DGS_0293.0,{1AF73DD3-810D-4883-841C-059206F2219A}
Kelly Miller Middle School,301 49TH STREET NE,Middle School,Active,202-388-6870,328,dcps_421,http://kellymillerms.org/,,,,-76.93245515,38.89331541,2023-2024,District of Columbia Public Schools,Kelly Miller Middle School,421,6th-8th,294476,405859.65,136165.39,20019,DGS_0462.0,{9BF1B6FB-CB1E-4069-88A7-4773EDB95DBE}
Ketcham Elementary School,1919 15TH STREET SE,Elementary School,Active,202-698-1122,256,dcps_257,http://profiles.dcps.dc.gov/Ketcham+Elementary+School,461,88300,325,-76.98362116,38.86604269,2023-2024,District of Columbia Public Schools,Ketcham Elementary School,257,PK3-5th,286537,401421.44,133135.87,20020,DGS_0364.0,{3287D7E9-3F3D-4844-B1D2-371ED0251A5A}
Key Elementary School,5001 DANA PLACE NW,Elementary School,Active,202-729-3280,386,dcps_272,http://keyschooldc.org/dcps/,,,,-77.10052732,38.92680184,2023-2024,District of Columbia Public Schools,Key Elementary School,272,PK4-5th,294605,391283.15,139885.29,20016,DGS_0653.0,{B5147EE4-FBB0-467E-BE21-61D8D8128BB1}
Kimball Elementary School,3375 MINNESOTA AVENUE SE,Elementary School,Active,202-671-6260,313,dcps_259,http://profiles.dcps.dc.gov/Kimball+Elementary+School+%40+Davis,474,,400,-76.957178,38.883303,2023-2024,District of Columbia Public Schools,Kimball Elementary School,259,PK3-5th,294565,,,,DGS_0186.0,{04537901-FEFC-49F5-8D87-535AA5B15576}
King Elementary School,3200 6TH STREET SE,Elementary School,Active,202-939-4900,345,dcps_344,http://profiles.dcps.dc.gov/King+Elementary+School,525,65500,400,-76.99823899,38.84244319,2023-2024,District of Columbia Public Schools,King Elementary School,344,PK3-5th,294557,400152.88,130516.03,20032,DGS_0481.0,{82482869-2C09-4325-8CA9-78BD6F207169}
Kramer Middle School,1700 Q STREET SE,Middle School,Active,202-939-3150,277,dcps_417,http://www.myschooldc.org/schools/profile/56/,655,154000,550,-76.9801713,38.8712864,2023-2024,District of Columbia Public Schools,Kramer Middle School,417,6th-8th,289467,401720.71,133718.02,20020,DGS_0332.0,{712441EF-CCEA-47D5-83BC-A4A501369160}
Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,Elementary School,Active,202-282-0116,707,dcps_261,http://www.lafayettehsa.org,486,113600,550,-77.06803712,38.96662755,2023-2024,District of Columbia Public Schools,Lafayette Elementary School,261,PK4-5th,294611,394103.71,144303.7,20015,DGS_0690.0,{35B1426C-967D-470E-BF77-158E016C0191}
Langdon Elementary School,1900 EVARTS STREET NE,Elementary School,Active,202-576-6048,404,dcps_262,http://profiles.dcps.dc.gov/Langdon+Elementary+School,528,101400,450,-76.97708185,38.92470416,2023-2024,District of Columbia Public Schools,Langdon Elementary School,262,PK3-5th,294532,401987.32,139647.88,20018,DGS_0786.0,{8BFFACEA-4BFB-4187-99F7-5D36206E07AA}
Langley Elementary School,101 T STREET NE,Elementary School,Active,202-576-6034,375,dcps_965,http://www.langleyelementary.org/,,,,-77.00588662,38.91516879,2023-2024,District of Columbia Public Schools,Langley Elementary School,370,PK3-5th,285757,399489.48,138589.14,20002,DGS_0210.0,{51315D73-0FB7-4C12-989A-5919DEBD6E8B}
LaSalle-Backus Elementary School,501 RIGGS ROAD NE,Elementary School,Active,202-671-6340,290,dcps_264,http://www.lasallebackus.com/,406,63000,425,-76.99988254,38.95997214,2023-2024,District of Columbia Public Schools,LaSalle-Backus Elementary School,264,PK3-5th,294489,400010.18,143562.69,20011,DGS_0661.0,{CE8A4B9F-5744-462C-84BA-F8EB04CBAEF9}
Leckie Education Campus,4201 MARTIN LUTHER KING JR AVENUE SW,Elementary School,Active,202-645-3330,361,dcps_266,http://www.leckielionsdc.org/,471,65000,400,-77.01289191,38.82819678,2023-2024,District of Columbia Public Schools,Leckie Education Campus,266,PK3-8th,294592,398880.58,128934.66,20032,DGS_0593.0,{BE49A027-38CD-4126-97D3-E8B4C2320936}
Ludlow-Taylor Elementary School,659 G STREET NE,Elementary School,Active,202-698-3244,258,dcps_271,http://www.ludlowtaylor.org,,,,-76.99649249,38.89874414,2023-2024,District of Columbia Public Schools,Ludlow-Taylor Elementary School,271,PK3-5th,294494,400304.26,136765.86,20002,DGS_0721.0,{D67C6C90-FF41-40F7-9BA6-113E366C0651}
Luke C. Moore High School,1001 MONROE STREET NE,Youth Engagement,Active,202-281-3600,293,dcps_884,http://profiles.dcps.dc.gov/Luke+C.+Moore+High+School,,,,-76.99231633,38.93227638,2023-2024,District of Columbia Public Schools,Luke C. Moore High School,884,9th-12th,294504,400666.21,140488.24,20017,DGS_0205.0,{B841977C-1B7B-4DE3-BBF5-133D6C17EB84}
MacFarland Middle School,4400 IOWA AVENUE NW,Middle School,Active,202-671-6033,,dcps_973,http://profiles.dcps.dc.gov/MacFarland+Middle+School,,,,-77.02777641,38.94360856,2023-2024,District of Columbia Public Schools,MacFarland Middle School,420,6th-7th,294595,397592.04,141746.55,20011,DGS_0613.0,{FA7B3D6B-F7B5-43D6-813A-E829ADFEC9DA}
Malcolm X Elementary School @ Green,1500 MISSISSIPPI AVENUE SE,Elementary School,Active,202-645-3409,261,dcps_308,http://profiles.dcps.dc.gov/Malcolm+X+Elementary+School+%40+Green,571,110800,400,-76.98339857,38.8416454,2023-2024,District of Columbia Public Schools,Malcolm X Elementary School @ Green,308,PK3-5th,294523,401441.25,130427.6,20032,DGS_0313.0,{4F167BBE-D2D5-4222-A093-9167778C4435}
Ballou High School,3401 4TH STREET SE,High School,Active,202-645-3400,910,dcps_452,http://www.balloudc.org/,1565,271300,1200,-77.0013625,38.83851166,2023-2024,District of Columbia Public Schools,Ballou High School,452,9th-12th,294567,399881.71,130079.64,20032,DGS_0519.0,{F4BDABC9-7AEF-49ED-9D38-EA4C457FC7E5}
Ballou STAY High School,3401 4TH STREET SE,Youth Engagement,Active,202-645-3390,735,dcps_914,http://www.balloustay.com/,,,,-77.0013625,38.83851166,2023-2024,District of Columbia Public Schools,Ballou STAY High School,462,9th-12th,294567,399881.71,130079.64,20032,DGS_0519.0,{E9179948-BBFC-40FD-A973-724EB15A7F77}
Lorraine H. Whitlock Elementary School,533 48TH PLACE NE,Elementary School,Active,202-671-6060,269,dcps_202,http://profiles.dcps.dc.gov/Aiton+Elementary+School,479,57100,400,-76.93370092,38.89700181,2023-2024,District of Columbia Public Schools,Aiton Elementary School,202,PK3-5th,294490,405751.28,136574.53,20019,DGS_0669.0,{FDE9AEAE-6943-4855-A367-43365ACDE4F7}
Mann Elementary School,4430 NEWARK STREET NW,Elementary School,Active,202-282-0126,290,dcps_273,http://www.horacemanndc.org/,,,,-77.08782619,38.93429231,2023-2024,District of Columbia Public Schools,Mann Elementary School,273,PK4-5th,294597,392385.28,140715.66,20016,DGS_0616.0,{4933A118-B4E3-44E0-9D6A-A373E37B156E}
Marie Reed Elementary School,2201 18TH STREET NW,Elementary School,Active,202-673-7308,357,dcps_284,http://mariereedes.org/,,,,-77.040822,38.919112,2023-2024,District of Columbia Public Schools,Marie Reed Elementary School,284,PK3-5th,310614,396459.87,139027.66,20009,DGS_0396.2,{E2CA7792-FE9C-49A3-A3BA-B5467EACABD2}
Maury Elementary School,1250 CONSTITUTION AVENUE NE,Elementary School,Active,202-698-3838,387,dcps_274,http://www.mauryelementary.com,276,46800,325,-76.988999,38.892287,2023-2024,District of Columbia Public Schools,Maury Elementary School,274,PK3-5th,294511,,,,DGS_0258.0,{741872FC-C13B-4648-B7A2-31B8CD4CC40D}
McKinley Middle School,151 T STREET NE,Middle School,Active,202-281-3950,670,dcps_970,http://profiles.dcps.dc.gov/McKinley+Middle+School,,,,-77.00412244,38.91522012,2023-2024,District of Columbia Public Schools,McKinley Middle School,435,6th-8th,296345,399642.48,138594.83,20002,DGS_0283.0,{D5197B07-D798-4CAF-8C8A-CD64AB190277}
McKinley Technology High School,151 T STREET NE,High School/Specialized,Active,202-281-3950,670,dcps_458,http://mckinleytech.org/,,,,-77.00412244,38.91522012,2023-2024,District of Columbia Public Schools,McKinley Technology High School,458,9th-12th,296345,399642.48,138594.83,20002,DGS_0283.0,{60B4530A-9366-4796-9072-921458A74021}
Military Road Early Learning Center,1375 MISSOURI AVENUE NW,Specialized School,Active,202-671-6410,,dcps_984,,,,,-77.032373,38.962211,2023-2024,District of Columbia Public Schools,Military Road Early Learning Center,0,PK3–PK4,284010,397194.29,143811.74,20011,,{C4FE7948-AB3A-49C2-B674-98A7D88E8E4A}
Miner Elementary School,601 15TH STREET NE,Elementary School,Active,202-397-3960,469,dcps_280,http://www.minerelementary.org/,,,,-76.98290432,38.89737602,2023-2024,District of Columbia Public Schools,Miner Elementary School,280,PK3-5th,289548,401483,136614.12,20002,DGS_0696.0,{8B528860-CC3D-4208-92EA-41DA7FD811FA}
Moten Elementary School,1565 MORRIS ROAD SE,Elementary School,Active,202-698-1111,315,dcps_920,http://www.myschooldc.org/schools/profile/75/,,144900,,-76.98294368,38.856656,2023-2024,District of Columbia Public Schools,Moten Elementary School,285,PK3-5th,294524,401480.43,132093.89,20020,DGS_0323.0,{E0C40495-683B-48EC-AED7-77D9E00D0260}
Murch Elementary School,4810 36TH STREET NW,Elementary School,Active,202-282-0130,556,dcps_287,http://www.murchschool.org,,,,-77.070079,38.952934,2023-2024,District of Columbia Public Schools,Murch Elementary School,287,PK4-5th,294602,393925.57,142783.67,20008,DGS_0638.0,{BA7285DC-5D04-4D8C-AF2B-DC47652DFC22}
Nalle Elementary School,219 50TH STREET SE,Elementary School,Active,202-671-6280,327,dcps_288,http://profiles.dcps.dc.gov/Nalle+Elementary+School,460,83900,400,-76.93079651,38.88595442,2023-2024,District of Columbia Public Schools,Nalle Elementary School,288,PK3-5th,294474,406004.16,135348.37,20019,DGS_0394.0,{8119A739-940E-43F0-AF51-F36003404890}
Noyes Elementary School,2725 10TH STREET NE,Elementary School,Active,202-281-2580,352,dcps_290,http://profiles.dcps.dc.gov/Noyes+Elementary+School,,,,-76.99184288,38.92517798,2023-2024,District of Columbia Public Schools,Noyes Elementary School,290,PK3-5th,289594,400707.33,139700.26,20018,DGS_0444.0,{07DEEBA0-440C-42CC-B099-5B1C565EAC39}
Oyster-Adams Bilingual School (Adams),2020 19TH STREET NW,Middle School,Active,202-673-7311,321,dcps_949,http://oysteradamsbilingual.org/,,,,-77.04437725,38.91730954,2023-2024,"District of Columbia Public Schools
",Oyster-Adams Bilingual School (Adams),201,4th-8th,294534,396151.48,138827.7,20009,DGS_0380.0,{9803440A-A04A-46F2-B077-74865464999B}
Oyster-Adams Bilingual School (Oyster),2801 CALVERT STREET NW,Elementary School,Active,202-671-6130,355,dcps_292,http://oysteradamsbilingual.org/,,,,-77.05720337,38.92359583,2023-2024,District of Columbia Public Schools,Oyster-Adams Bilingual School (Oyster),292,PK4-3rd,275944,395039.6,139526.15,20008,DGS_0446.0,{B303B9B4-C838-4180-8484-3752B7023378}
Patterson Elementary School,4399 SOUTH CAPITOL TERRACE SW,Elementary School,Active,202-939-5280,320,dcps_294,http://www.myschooldc.org/schools/profile/82/,,78300,368,-77.00848471,38.82696636,2023-2024,District of Columbia Public Schools,Patterson Elementary School,294,PK3-5th,301073,399263.25,128798.03,20032,DGS_0608.0,{A60A2C61-5C13-40BA-A1CC-2CE6AC4D7E25}
Payne Elementary School,1445 C STREET SE,Elementary School,Active,202-698-3262,236,dcps_295,http://paynedc.org/,438,,,-76.984984,38.885171,2023-2024,District of Columbia Public Schools,Payne Elementary School,295,PK3-5th,289721,401302.84,135259.2,20003,DGS_0466.0,{67F94E33-A377-44DB-94AA-9413C6BD92B1}
Peabody Elementary School,425 C STREET NE,Elementary School,Active,202-698-3277,150,dcps_301,http://profiles.dcps.dc.gov/Peabody+Elementary+School+(Capitol+Hill+Cluster),,,,-76.99985799,38.89289632,2023-2024,District of Columbia Public Schools,Peabody Elementary School,301,PK3-KG,288145,400012.32,136116.7,20002,DGS_0595.0,{2E71B363-36CC-431B-ACED-E78578ED90B3}
"Phelps Architecture, Construction, and Engineering High School",704 26TH STREET NE,High School/Specialized,Active,202-729-4360,329,dcps_478,http://phelpshsdc.org/,,205776,600,-76.97189763,38.90199202,2023-2024,District of Columbia Public Schools,"Phelps Architecture, Construction, and Engineering High School",478,9th-12th,294495,402437.64,137126.77,20002,DGS_0725.0,{091F55FB-D253-4256-B22F-F42BB98EDF9F}
Plummer Elementary School,4601 TEXAS AVENUE SE,Elementary School,Active,202-939-4360,220,dcps_299,http://profiles.dcps.dc.gov/Plummer+Elementary+School,,,,-76.93993468,38.8872402,2023-2024,District of Columbia Public Schools,Plummer Elementary School,299,PK3-5th,19536,405211.23,135490.54,20019,DGS_0202.0,{D558138C-6746-49CD-8FCC-D5F2C0A339C0}
Powell Elementary School,1350 UPSHUR STREET NW,Elementary School,Active,202-671-6270,310,dcps_300,http://www.powellbilingualelementary.com/,304,38500,325,-77.03122742,38.94153434,2023-2024,District of Columbia Public Schools,Powell Elementary School,300,PK3-5th,255302,397292.79,141516.39,20011,DGS_0287.0,{B44085BC-04EB-4D96-98AF-79A7447711FC}
Randle Highlands Elementary School,1650 30TH STREET SE,Elementary School,Active,202-729-3250,384,dcps_316,http://www.randlehighlandselementary.org/,520,,,-76.96435628,38.87009174,2023-2024,District of Columbia Public Schools,Randle Highlands Elementary School,316,PK3-5th,156337,403093.17,133585.82,20020,DGS_0803.0,{F3215344-5217-451A-A6DB-551E94FBE8F6}
Raymond Elementary School,915 SPRING ROAD NW,Elementary School,Active,202-576-6236,442,dcps_302,http://raymondeducationcampus.org/,,,,-77.02643266,38.93581121,2023-2024,District of Columbia Public Schools,Raymond Elementary School,302,PK3-5th,226682,397708.28,140880.94,20010,DGS_0788.0,{350369A7-F0F6-4A39-BFDA-9E84D7B021A8}
River Terrace Education Campus,405 Anacostia Ave NE,Special Education,Active,202-442-7111,,dcps_978,http://profiles.dcps.dc.gov/River+Terrace+Education+Campus,,,,-76.95896387,38.8952415,2023-2024,District of Columbia Public Schools,River Terrace Education Campus,304,SPED,313230,403559.87,136377.87,20019,DGS_0184.0,{BAD1ADE1-ABF7-43EC-B4FC-56C81913D673}
Ron Brown College Preparatory High School,4800 MEADE STREET NE,High School/Specialized,Active,202-729-4343,,dcps_980,http://profiles.dcps.dc.gov/Ron+Brown+College+Preparatory+High+School,,,,-76.932705,38.906563,2023-2024,District of Columbia Public Schools,Ron Brown College Preparatory High School,436,9th-11th,294601,405836.91,137635.93,20019,DGS_0637.0,{F564616B-128F-47EA-B219-B3719C4BD507}
